0523077220141025,,523,772
Old Dominion Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:16,1,01:43,ODU 29,6,47,Field Goal
08:38,1,00:33,ODU 15,2,5,Interception
05:18,1,01:23,ODU 22,3,-11,Punt
03:16,1,03:40,ODU 17,11,83,Touchdown
14:17,2,01:54,WKU 44,7,44,Touchdown
10:19,2,01:27,ODU 25,4,75,Touchdown
08:13,2,05:32,ODU 11,11,89,Touchdown
00:07,2,00:07,ODU 17,1,16,End of Half
14:52,3,03:30,ODU 30,7,70,Touchdown
11:00,3,02:19,ODU 24,5,76,Touchdown
05:04,3,02:59,ODU 29,7,71,Touchdown
13:30,4,04:36,ODU 26,8,71,Interception
08:49,4,01:25,ODU 35,3,-4,Punt
02:04,4,00:03,50,0,4,Fumble
Western Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:37,WKU 27,8,73,Touchdown
10:27,1,01:49,WKU 26,5,22,Punt
08:05,1,02:41,ODU 41,7,41,Touchdown
03:55,1,00:33,ODU 45,2,45,Touchdown
14:25,2,00:08,WKU 36,1,8,Fumble
12:18,2,01:59,WKU 24,6,76,Touchdown
08:44,2,00:25,WKU 39,2,61,Touchdown
02:34,2,02:22,WKU 23,11,77,Touchdown
11:09,3,00:00,ODU 0,0,0,Touchdown
08:41,3,03:30,WKU 25,8,75,Touchdown
01:57,3,03:27,WKU 17,8,82,Fumble
08:54,4,00:00,ODU 0,0,0,Touchdown
07:24,4,05:23,WKU 30,11,60,Field Goal
02:01,4,02:01,WKU 46,3,6,End of Game
