0528065720140927,,528,657
Oregon State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:29,1,02:44,ORST 9,7,40,Punt
07:05,1,01:54,ORST 16,4,14,Downs
05:11,1,00:14,USC 0,0,0,Touchdown
03:33,1,02:24,ORST 35,5,-1,Punt
00:01,1,03:47,ORST 7,11,72,Field Goal
07:16,2,04:38,ORST 25,8,53,Interception
15:00,3,02:42,ORST 22,6,32,Punt
11:13,3,00:28,ORST 44,3,0,Punt
05:40,3,01:45,ORST 20,3,6,Punt
14:29,4,02:05,ORST 28,3,-7,Punt
11:00,4,02:00,ORST 9,4,29,Punt
05:02,4,00:35,ORST 39,3,0,Punt
USC Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:31,USC 23,7,34,Punt
08:45,1,01:40,USC 18,3,9,Punt
04:57,1,01:24,USC 41,3,-2,Punt
01:09,1,01:08,USC 38,3,3,Punt
11:14,2,03:58,USC 35,8,65,Touchdown
02:38,2,02:38,USC 20,9,80,End of Half
12:18,3,01:05,USC 10,3,6,Punt
10:45,3,05:05,USC 12,15,70,Missed FG
03:55,3,04:26,USC 13,12,87,Touchdown
12:24,4,01:24,50,3,6,Punt
09:00,4,03:58,USC 12,9,87,Touchdown
04:27,4,04:27,USC 22,7,45,End of Game
