0529010720141024,,529,107
Oregon Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:55,1,02:06,ORE 33,6,67,Touchdown
07:10,1,02:41,CAL 46,7,46,Touchdown
02:39,1,01:35,ORE 3,4,20,Punt
00:28,1,01:57,CAL 38,7,32,Field Goal
11:56,2,01:33,CAL 48,5,48,Touchdown
05:15,2,00:17,ORE 33,2,3,Fumble
03:31,2,01:35,ORE 41,7,47,Interception
01:11,2,00:30,ORE 40,3,60,Touchdown
15:00,3,01:35,ORE 25,4,75,Touchdown
09:54,3,02:30,ORE 30,10,70,Touchdown
03:54,3,01:53,ORE 22,5,29,Punt
01:05,3,01:17,ORE 20,3,6,Punt
11:43,4,02:42,ORE 28,6,21,Fumble
09:01,4,00:03,CAL 21,1,21,Touchdown
04:21,4,04:21,ORE 34,7,32,End of Game
California Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:05,CAL 25,9,75,Touchdown
08:49,1,01:39,CAL 25,6,75,Touchdown
04:29,1,01:50,CAL 22,5,29,Punt
01:04,1,00:36,ORE 40,1,-22,Fumble
13:31,2,01:35,CAL 39,4,9,Downs
10:23,2,01:31,CAL 29,3,-9,Punt
08:52,2,03:37,CAL 33,9,67,Touchdown
04:58,2,01:27,ORE 5,4,5,Touchdown
01:56,2,00:45,CAL 20,3,8,Punt
00:41,2,00:41,CAL 19,7,35,End of Half
13:25,3,03:31,CAL 7,8,63,Missed FG
07:24,3,03:30,CAL 21,10,79,Touchdown
02:01,3,00:56,CAL 13,3,9,Punt
14:48,4,03:05,CAL 40,11,32,Downs
08:58,4,04:37,CAL 25,11,75,Touchdown
