0539012820140830,,539,128
Penn State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:27,1,03:29,PSU 20,6,34,Downs
09:58,1,01:38,UCF 46,4,61,Touchdown
05:04,1,04:42,PSU 1,7,32,Interception
12:26,2,06:06,PSU 23,15,72,Field Goal
02:10,2,01:56,PSU 21,9,32,Downs
15:00,3,04:24,PSU 30,7,29,Punt
08:52,3,01:56,PSU 41,5,43,Field Goal
02:39,3,01:44,PSU 28,3,72,Touchdown
11:31,4,01:31,PSU 31,3,22,Interception
09:52,4,00:42,UCF 38,2,10,Fumble
08:14,4,04:44,PSU 35,10,58,Field Goal
01:13,4,01:13,PSU 26,8,55,End of Game
UCF Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:33,UCF 32,3,-3,Punt
08:20,1,03:16,PSU 23,6,22,Downs
00:22,1,02:56,PSU 37,7,18,Field Goal
06:20,2,04:10,UCF 20,6,20,Punt
00:14,2,00:14,UCF 47,1,-11,End of Half
10:36,3,01:44,UCF 20,3,-6,Punt
06:56,3,04:17,UCF 30,7,70,Touchdown
00:55,3,04:24,UCF 22,7,77,Touchdown
10:00,4,00:08,UCF 39,1,-1,Fumble
09:10,4,00:56,UCF 29,3,-5,Punt
03:30,4,02:17,UCF 25,8,75,Touchdown
