0545045720141115,,545,457
Pittsburgh Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:33,PITT 20,5,80,Touchdown
11:55,1,01:56,PITT 20,5,13,Punt
07:49,1,05:16,PITT 16,10,84,Touchdown
01:31,1,02:14,PITT 36,5,36,Missed FG
12:03,2,03:35,PITT 25,6,35,Punt
07:46,2,00:49,PITT 49,2,51,Touchdown
00:17,2,00:17,PITT 25,1,-1,End of Half
13:48,3,07:31,PITT 25,13,75,Touchdown
04:44,3,01:39,PITT 24,3,4,Punt
14:03,4,04:33,PITT 25,9,33,Punt
08:05,4,04:32,PITT 38,9,62,Touchdown
00:50,4,00:35,PITT 20,2,7,Fumble
North Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:27,1,00:32,UNC 35,3,6,Punt
09:59,1,02:10,UNC 23,8,33,Fumble
02:33,1,01:02,UNC 25,3,-3,Punt
14:17,2,02:14,UNC 28,10,72,Touchdown
08:28,2,00:42,UNC 10,3,0,Punt
06:57,2,06:40,UNC 20,18,80,Touchdown
15:00,3,01:12,UNC 25,4,75,Touchdown
06:17,3,01:33,UNC 8,6,92,Touchdown
03:05,3,04:02,UNC 19,11,81,Touchdown
09:30,4,01:25,UNC 13,3,4,Punt
03:33,4,02:43,UNC 25,13,75,Touchdown
00:15,4,00:15,UNC 30,1,-1,End of Game
