0550052820140830,,550,528
Portland State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:55,1,01:36,PRST 17,3,7,Punt
07:58,1,01:45,PRST 22,5,18,Punt
01:03,1,01:15,PRST 26,3,74,Touchdown
09:28,2,03:50,PRST 27,9,73,Touchdown
03:58,2,02:22,PRST 25,8,51,Missed FG
00:00,2,00:00,PRST 33,0,0,
15:00,3,00:10,PRST 20,1,0,INTERCEPTION
10:52,3,01:23,PRST 23,3,-18,Punt
06:34,3,01:20,PRST 1,4,22,Fumble
05:03,3,00:38,PRST 24,2,4,Interception
03:22,3,01:15,PRST 29,3,5,Punt
00:00,3,00:00,PRST 31,0,-5,Fumble
14:20,4,00:37,PRST 20,2,6,Fumble
11:44,4,02:34,PRST 20,6,28,Punt
05:28,4,01:06,PRST 25,3,-3,Punt
Oregon State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:05,ORST 35,3,-1,Punt
11:19,1,03:15,ORST 40,7,52,Field Goal
06:13,1,05:01,ORST 22,9,71,Field Goal
14:42,2,05:06,ORST 18,10,82,Touchdown
05:31,2,01:33,ORST 26,4,8,Punt
01:36,2,01:36,ORST 25,7,42,Missed FG
14:50,3,03:52,ORST 40,10,51,Field Goal
09:29,3,02:55,PRST 35,7,-3,Punt
05:14,3,00:07,PRST 23,1,23,Touchdown
04:25,3,00:53,PRST 16,4,2,Field Goal
02:07,3,01:53,ORST 15,3,9,Punt
00:14,3,00:54,PRST 26,3,6,Fumble
13:43,4,01:59,PRST 26,5,18,Missed FG
09:10,4,03:42,ORST 15,9,79,Field Goal
04:22,4,04:22,ORST 24,7,29,End of Game
