0559042820141018,,559,428
Purdue Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:17,PUR 16,1,0,Interception
14:40,1,01:40,PUR 37,3,63,Touchdown
06:23,1,03:46,PUR 25,8,75,Touchdown
12:40,2,03:39,PUR 10,7,90,Touchdown
08:44,2,01:22,MINN 13,4,4,Field Goal
06:15,2,04:51,PUR 34,9,66,Touchdown
00:40,2,00:40,PUR 20,4,6,End of Half
12:03,3,01:11,PUR 25,3,-2,Punt
07:10,3,01:07,PUR 30,3,70,Touchdown
04:22,3,00:59,PUR 40,3,-3,Punt
01:13,3,02:08,PUR 28,3,9,Punt
12:23,4,04:02,PUR 23,8,47,Downs
04:59,4,02:31,PUR 30,6,11,Interception
Minnesota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:43,1,00:03,PUR 2,1,2,Touchdown
13:00,1,06:37,MINN 18,13,82,Touchdown
02:37,1,04:57,MINN 29,10,71,Touchdown
09:01,2,00:17,MINN 27,1,0,Fumble
07:22,2,01:07,MINN 29,3,-1,Punt
01:24,2,00:44,MINN 25,6,26,Punt
15:00,3,02:57,MINN 25,6,75,Touchdown
10:52,3,03:42,MINN 30,7,67,Field Goal
06:03,3,01:41,MINN 7,3,7,Punt
03:23,3,02:10,MINN 42,5,58,Touchdown
14:05,4,01:42,MINN 24,4,2,Punt
08:21,4,03:22,MINN 30,8,35,Field Goal
02:28,4,02:28,50,5,26,End of Game
