0572038820140906,,572,388
Rhode Island Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:25,URI 18,3,-7,Punt
12:51,1,04:20,URI 25,7,26,Punt
06:51,1,05:15,URI 29,9,27,Punt
00:07,1,01:09,URI 26,3,-10,Punt
13:58,2,01:51,URI 48,3,6,Punt
09:17,2,01:42,URI 34,3,-5,Punt
05:44,2,02:05,URI 1,3,6,Punt
02:22,2,01:04,URI 25,3,3,Punt
00:36,2,00:36,URI 25,1,-1,End of Half
13:14,3,01:39,URI 2,4,10,Interception
10:00,3,02:03,URI 25,3,-3,Punt
06:42,3,00:38,URI 25,3,5,Punt
01:57,3,04:54,URI 25,12,75,Touchdown
10:12,4,01:26,URI 25,3,2,Punt
00:00,4,00:00,URI 12,0,0,Fumble
04:01,4,03:11,URI 20,7,42,Downs
Marshall Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:35,1,00:44,MRSH 46,3,54,Touchdown
08:31,1,01:40,MRSH 12,6,59,Downs
01:36,1,01:29,MRSH 1,4,21,Punt
00:00,2,00:00,URI 46,0,-2,Fumble
12:07,2,02:50,MRSH 8,8,63,Fumble
07:35,2,01:51,MRSH 32,6,67,Downs
03:39,2,01:17,URI 46,5,38,Field Goal
01:18,2,00:42,MRSH 24,6,76,Touchdown
15:00,3,01:46,MRSH 26,6,72,Fumble
11:35,3,01:35,URI 15,4,15,Touchdown
07:57,3,01:15,MRSH 38,6,62,Touchdown
06:04,3,04:07,MRSH 36,10,64,Touchdown
12:03,4,01:51,MRSH 25,4,75,Touchdown
08:46,4,03:56,MRSH 17,9,34,Punt
04:50,4,00:49,URI 12,4,7,Field Goal
00:50,4,00:50,MRSH 38,2,7,End of Game
