0574069720140913,,574,697
Rice Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:24,RICE 18,6,29,Punt
11:03,1,03:37,TAMU 40,8,36,Missed FG
03:36,1,03:42,RICE 25,8,44,Downs
13:44,2,01:45,RICE 25,5,75,Touchdown
10:42,2,04:30,RICE 20,9,40,Punt
03:30,2,03:29,RICE 25,11,44,Missed FG
13:26,3,02:36,RICE 25,4,13,Punt
08:58,3,03:01,RICE 20,6,16,Punt
05:24,3,04:45,RICE 18,11,66,Field Goal
14:44,4,07:06,RICE 11,12,38,Punt
06:29,4,01:37,RICE 32,4,13,Punt
03:45,4,03:45,RICE 16,10,46,END OF HALF
Texas A&M Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:36,1,00:33,TAMU 20,3,-17,Punt
07:26,1,03:50,TAMU 20,13,80,Touchdown
14:54,2,01:10,TAMU 31,6,69,Touchdown
11:59,2,01:17,TAMU 25,3,-1,Punt
06:12,2,02:42,TAMU 9,8,91,Touchdown
00:01,2,00:01,TAMU 27,1,-2,End of Half
15:00,3,01:34,TAMU 26,5,74,Touchdown
10:50,3,01:52,TAMU 36,5,15,Punt
05:57,3,00:33,TAMU 21,3,79,Touchdown
00:39,3,00:55,TAMU 21,6,50,Field Goal
07:38,4,01:09,TAMU 20,3,8,Punt
04:52,4,01:07,TAMU 24,4,21,Interception
