0575074620140906,,575,746
Richmond Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:57,RICH 35,11,53,Field Goal
08:38,1,02:20,RICH 20,3,2,Punt
00:32,1,02:24,RICH 25,5,44,Interception
09:49,2,01:42,RICH 14,3,4,Punt
08:07,2,00:08,RICH 35,1,0,Fumble
05:21,2,04:59,RICH 25,12,70,Fumble
13:20,3,03:20,RICH 12,9,47,Punt
08:57,3,02:08,RICH 38,7,47,Field Goal
04:39,3,00:44,RICH 19,2,3,Fumble
03:55,3,00:38,RICH 25,2,1,Interception
02:25,3,01:48,RICH 29,9,71,Touchdown
12:38,4,01:42,RICH 19,3,4,Interception
08:47,4,03:51,RICH 1,8,44,Fumble
01:49,4,01:49,RICH 25,5,41,End of Game
Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:54,1,01:16,UVA 44,3,8,Punt
06:18,1,05:46,UVA 24,14,76,Touchdown
13:08,2,03:19,UVA 10,6,25,Punt
00:00,2,00:00,RICH 35,0,0,Fumble
07:59,2,02:38,RICH 35,6,35,Touchdown
00:22,2,00:22,UVA 5,1,-1,End of Half
15:00,3,01:40,UVA 39,5,61,Touchdown
10:00,3,01:03,UVA 2,3,17,Interception
06:49,3,02:10,RICH 13,4,8,Field Goal
03:55,3,00:00,RICH 22,0,0,Touchdown
03:17,3,00:52,RICH 30,4,1,Missed FG
00:37,3,02:59,UVA 40,7,60,Touchdown
10:56,4,02:09,RICH 29,3,-10,Punt
04:56,4,03:07,RICH 45,9,45,Touchdown
