0587041620141122,,587,416
Rutgers Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:14,RUTG 25,3,3,Fumble
12:52,1,03:25,RUTG 21,6,30,Interception
05:36,1,01:37,RUTG 28,3,-5,Punt
03:19,1,03:41,RUTG 25,11,46,Missed FG
12:12,2,01:32,RUTG 25,3,6,Punt
05:19,2,03:18,RUTG 8,8,31,Interception
00:28,2,00:28,RUTG 21,1,1,End of Half
09:26,3,03:00,RUTG 3,6,5,Punt
04:16,3,03:27,RUTG 20,9,54,Field Goal
11:36,4,02:14,RUTG 27,3,9,Punt
05:53,4,03:46,RUTG 25,8,58,Interception
00:38,4,00:38,RUTG 29,1,6,End of Game
Michigan State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:46,1,00:54,MSU 38,3,36,Fumble
09:27,1,03:51,MSU 34,9,66,Touchdown
03:59,1,00:40,RUTG 33,3,33,Touchdown
14:38,2,02:26,MSU 30,6,70,Touchdown
10:40,2,05:21,MSU 24,11,76,Touchdown
02:01,2,01:33,RUTG 48,9,48,Touchdown
15:00,3,05:34,MSU 28,10,69,Fumble
06:26,3,02:10,RUTG 46,3,5,Punt
00:49,3,04:13,RUTG 44,8,38,Field Goal
09:22,4,03:29,MSU 34,6,66,Touchdown
02:07,4,01:29,MSU 20,3,8,Punt
