0624036520140906,,624,365
Sam Houston State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:15,SHSU 25,5,26,Interception
13:32,1,01:24,SHSU 25,3,-10,Punt
10:23,1,02:27,SHSU 25,7,54,Downs
03:56,1,01:17,SHSU 25,3,5,Punt
13:28,2,02:54,SHSU 17,5,26,Punt
08:15,2,01:32,SHSU 24,4,27,Punt
02:05,2,01:24,SHSU 16,8,36,Punt
12:20,3,01:56,SHSU 13,3,9,Punt
07:29,3,00:13,SHSU 12,1,-11,Fumble
07:11,3,01:05,SHSU 25,3,5,Punt
03:35,3,02:18,SHSU 29,6,66,Interception
13:08,4,00:44,SHSU 23,3,0,Punt
10:25,4,03:13,SHSU 35,6,1,Punt
03:19,4,03:19,SHSU 36,7,22,Downs
LSU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:45,1,00:13,LSU 6,1,94,Touchdown
12:08,1,01:45,LSU 41,6,59,Touchdown
07:56,1,04:00,LSU 21,9,79,Touchdown
02:39,1,04:11,LSU 20,12,80,Touchdown
10:34,2,02:19,LSU 19,6,81,Touchdown
06:43,2,04:38,LSU 8,9,22,Punt
00:41,2,00:41,LSU 20,1,-1,End of Half
15:00,3,02:40,LSU 30,5,16,Punt
10:24,3,02:55,LSU 39,5,16,Punt
07:16,3,00:05,SHSU 1,1,1,Touchdown
06:06,3,02:31,LSU 31,3,-5,Punt
01:17,3,03:09,LSU 20,7,80,Touchdown
12:24,4,01:59,SHSU 42,4,42,Touchdown
07:12,4,03:53,LSU 24,7,40,Fumble
00:00,4,00:00,LSU 42,0,0,
