0625003720141122,,625,37
Samford Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:55,1,04:54,SAM 19,9,38,Punt
07:16,1,01:37,AUB 33,5,20,Downs
14:48,2,02:04,SAM 23,5,7,Punt
11:35,2,03:46,SAM 26,7,74,Touchdown
06:43,2,02:06,SAM 25,3,-10,Punt
02:18,2,00:55,SAM 28,3,6,Punt
00:34,2,00:34,SAM 30,2,7,End of Half
15:00,3,02:51,SAM 25,10,58,Missed FG
08:36,3,01:35,SAM 25,3,2,Punt
05:39,3,00:52,SAM 25,3,-5,Interception
02:22,3,02:30,SAM 20,6,10,Punt
08:44,4,02:34,SAM 25,6,40,Interception
03:27,4,03:27,SAM 9,6,32,End of Game
Auburn Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:05,AUB 44,4,-9,Punt
08:01,1,00:45,AUB 16,2,1,Interception
05:39,1,05:51,AUB 13,11,42,Punt
12:44,2,01:09,AUB 27,3,3,Punt
07:49,2,00:59,AUB 27,3,73,Touchdown
04:37,2,02:13,SAM 44,7,32,Field Goal
01:23,2,00:44,AUB 32,5,68,Touchdown
12:09,3,03:33,AUB 20,10,80,Touchdown
07:01,3,01:22,AUB 24,3,9,Punt
04:47,3,02:25,SAM 25,4,-20,Punt
14:52,4,06:08,AUB 35,12,65,Touchdown
06:10,4,02:43,AUB 25,6,23,Punt
