0626009620141003,,626,96
San Diego State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:39,SDSU 27,3,0,Punt
13:52,1,02:31,SDSU 20,3,-6,Punt
08:07,1,00:47,FRES 42,2,11,Fumble
02:49,1,04:05,SDSU 33,11,60,Field Goal
12:23,2,03:51,SDSU 10,8,24,Punt
07:32,2,04:08,SDSU 20,9,28,Punt
00:00,2,00:00,SDSU 3,0,0,
13:32,3,02:17,SDSU 29,5,18,Punt
09:33,3,01:22,FRES 24,4,5,Field Goal
02:41,3,07:21,SDSU 21,14,79,Touchdown
08:03,4,01:48,SDSU 37,5,29,Interception
04:23,4,00:09,SDSU 14,1,0,Interception
03:24,4,01:24,SDSU 32,6,12,Downs
Fresno State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:21,1,00:29,FRES 28,3,12,Interception
11:21,1,03:03,FRES 37,8,43,Field Goal
07:20,1,04:24,FRES 33,10,67,Touchdown
13:34,2,01:11,FRES 33,3,7,Punt
08:32,2,01:00,FRES 26,3,1,Punt
03:24,2,03:24,FRES 18,14,61,Missed FG
14:50,3,01:18,FRES 15,3,5,Punt
11:15,3,01:42,FRES 9,5,25,Fumble
08:04,3,05:15,FRES 19,11,81,Touchdown
10:14,4,02:11,FRES 17,3,3,Punt
06:15,4,01:52,FRES 28,4,15,Punt
04:14,4,00:48,SDSU 7,3,7,Touchdown
02:00,4,02:00,SDSU 44,3,15,End of Game
