0630042820140920,,630,428
San Jos\xe9 State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:36,SJSU 25,2,2,Interception
12:31,1,04:19,SJSU 35,9,23,Punt
03:53,1,03:13,SJSU 25,6,75,Touchdown
13:47,2,02:22,SJSU 13,5,21,Punt
08:16,2,05:06,SJSU 20,11,39,Missed FG
00:29,2,00:09,SJSU 20,1,5,Interception
12:29,3,06:04,SJSU 32,11,60,Fumble
03:56,3,02:10,SJSU 43,6,23,Missed FG
13:15,4,00:05,SJSU 10,1,-3,Fumble
11:38,4,02:29,SJSU 10,8,25,Punt
03:21,4,02:09,SJSU 15,7,14,Fumble
Minnesota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:24,1,01:53,SJSU 27,4,6,Field Goal
08:12,1,04:19,MINN 15,9,85,Touchdown
00:40,1,01:53,MINN 35,3,-2,Punt
11:25,2,03:09,MINN 11,6,37,Punt
03:10,2,02:41,MINN 41,8,59,Fumble
00:20,2,00:20,SJSU 22,4,22,Touchdown
15:00,3,02:31,MINN 25,8,44,Missed FG
06:25,3,02:29,MINN 8,3,8,Punt
01:46,3,03:31,MINN 35,7,26,Punt
13:10,4,01:32,SJSU 7,3,2,Interception
09:09,4,05:48,MINN 39,10,61,Touchdown
01:12,4,01:12,SJSU 10,2,-1,End of Game
