0632041920140830,,632,419
Savannah State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:24,1,01:53,SAV 23,3,8,Punt
07:51,1,01:41,SAV 19,3,2,Punt
03:12,1,03:19,SAV 20,6,24,Interception
12:15,2,01:15,SAV 15,3,3,Punt
11:00,2,02:21,MTSU 49,6,22,Downs
08:28,2,01:29,MTSU 31,4,-14,Punt
01:33,2,01:33,SAV 20,4,17,Fumble
15:00,3,01:10,SAV 25,4,-5,Fumble
13:50,3,02:49,SAV 22,3,1,Punt
11:01,3,01:31,SAV 20,3,-10,Punt
08:04,3,05:40,SAV 20,11,62,Missed FG
00:34,3,03:22,50,9,50,Touchdown
10:12,4,01:29,SAV 28,3,14,Punt
04:43,4,03:19,SAV 28,5,26,Downs
Middle Tennessee Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:36,MTSU 25,10,75,Touchdown
09:31,1,01:40,MTSU 29,5,71,Touchdown
06:10,1,02:58,MTSU 31,8,69,Touchdown
14:53,2,02:38,MTSU 40,7,60,Touchdown
00:00,2,00:00,MTSU 48,0,1,Fumble
08:39,2,00:11,MTSU 27,1,4,Fumble
06:59,2,05:26,MTSU 20,13,80,Touchdown
00:00,2,00:00,SAV 37,0,0,
13:50,3,00:00,SAV 20,0,0,Touchdown
11:01,3,00:00,SAV 0,0,0,Touchdown
09:30,3,01:26,SAV 43,4,43,Touchdown
02:24,3,01:50,50,4,14,Interception
12:12,4,02:00,MTSU 25,3,-4,Punt
08:43,4,04:00,MTSU 5,9,95,Touchdown
01:24,4,01:24,MTSU 46,2,-1,End of Game
