0646064820141122,,646,648
South Alabama Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:02,1,06:43,USA 27,14,70,Field Goal
02:41,1,06:23,USA 25,14,63,Field Goal
09:48,2,00:50,USA 26,2,4,Interception
08:58,2,04:26,USA 25,8,34,Interception
02:39,2,00:58,SCAR 21,2,5,Interception
01:27,2,01:25,SCAR 38,8,36,Field Goal
15:00,3,01:03,USA 15,3,0,Punt
12:15,3,01:07,USA 49,3,3,Punt
07:21,3,01:33,USA 25,4,7,Fumble
03:22,3,03:39,USA 25,10,25,Punt
10:20,4,02:03,USA 25,4,20,Interception
08:11,4,02:20,USA 39,3,6,Punt
05:51,4,01:27,SCAR 17,4,3,Field Goal
01:51,4,01:51,USA 17,3,16,End of Game
South Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:58,SCAR 26,10,49,Field Goal
05:19,1,02:38,SCAR 27,6,73,Touchdown
11:18,2,01:30,SCAR 33,4,41,Fumble
08:58,2,00:00,USA 0,0,0,Touchdown
04:32,2,01:53,SCAR 11,4,27,Interception
01:41,2,00:14,SCAR 25,1,13,Fumble
00:02,2,00:00,SCAR 19,0,0,
13:57,3,01:42,SCAR 16,5,35,Fumble
11:08,3,03:47,SCAR 13,8,58,Field Goal
05:48,3,02:26,USA 32,7,25,Field Goal
14:43,4,04:23,SCAR 4,8,96,Touchdown
08:17,4,00:06,USA 14,1,14,Touchdown
00:00,4,00:00,SCAR 15,0,2,Fumble
04:24,4,02:33,SCAR 27,6,13,Punt
