0647014720140906,,647,147
South Carolina State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:35,1,01:37,SCST 25,3,-16,Punt
06:46,1,01:47,SCST 16,4,-15,Punt
04:12,1,01:21,SCST 35,3,1,Punt
14:54,2,01:10,SCST 25,3,0,Punt
11:11,2,01:53,SCST 18,3,7,Punt
07:03,2,01:24,SCST 28,3,5,Punt
03:39,2,02:50,SCST 18,8,38,Punt
15:00,3,02:01,SCST 26,3,-1,Punt
11:27,3,01:20,SCST 35,3,-3,Punt
07:45,3,01:17,SCST 31,3,-1,Punt
05:31,3,03:05,SCST 25,6,26,Interception
02:26,3,02:18,SCST 25,3,-9,Punt
13:34,4,01:34,SCST 25,4,-25,Safety
08:30,4,01:48,SCST 35,4,12,Punt
04:05,4,00:00,CLEM 35,0,0,Touchdown
Clemson Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:25,CLEM 32,7,68,Touchdown
10:58,1,04:07,SCST 44,11,39,Field Goal
04:59,1,00:47,SCST 40,4,5,Downs
02:51,1,02:57,CLEM 21,8,79,Touchdown
13:44,2,02:27,CLEM 36,7,64,Touchdown
09:18,2,02:08,CLEM 48,6,31,Field Goal
05:39,2,01:53,CLEM 22,6,78,Touchdown
00:49,2,00:49,CLEM 11,6,33,End of Half
12:59,3,01:29,CLEM 47,7,53,Touchdown
10:07,3,02:17,CLEM 28,5,65,Field Goal
06:28,3,00:57,CLEM 35,4,65,Touchdown
02:26,3,00:00,SCST 0,0,0,Touchdown
00:08,3,01:34,CLEM 49,6,51,Touchdown
11:55,4,03:19,CLEM 48,7,52,Touchdown
06:42,4,02:37,CLEM 11,6,24,Fumble
04:01,4,04:01,CLEM 28,6,28,End of Game
