0648073620140920,,648,736
South Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:49,1,02:41,SCAR 30,5,14,Punt
07:16,1,01:35,SCAR 13,4,12,Punt
00:54,1,03:04,SCAR 23,9,50,Field Goal
09:06,2,03:08,SCAR 21,7,79,Touchdown
04:04,2,02:16,SCAR 20,5,27,Punt
15:00,3,05:01,SCAR 25,11,75,Touchdown
09:45,3,03:03,SCAR 33,9,41,Field Goal
00:23,3,04:49,SCAR 39,10,61,Touchdown
07:41,4,00:13,SCAR 29,1,0,Fumble
05:57,4,01:22,SCAR 25,3,75,Touchdown
04:35,4,03:03,VAN 26,5,26,Touchdown
00:47,4,00:47,VAN 41,1,-1,End of Game
Vanderbilt Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:11,SCAR 0,0,0,Touchdown
12:08,1,04:52,VAN 9,8,26,Punt
05:41,1,04:47,VAN 40,8,60,Touchdown
12:50,2,03:44,VAN 26,6,24,Punt
05:58,2,01:54,VAN 34,3,4,Punt
01:48,2,01:25,VAN 13,4,38,Interception
00:23,2,00:23,VAN 36,1,6,End of Half
09:59,3,00:14,SCAR 0,0,0,Touchdown
06:42,3,06:19,VAN 5,10,88,Field Goal
10:34,4,02:53,VAN 15,9,56,Missed FG
07:28,4,01:31,SCAR 29,5,17,Field Goal
01:32,4,00:45,VAN 30,4,70,Touchdown
