0649043420140830,,649,434
South Dakota State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:10,1,00:13,SDSU 25,1,75,TOUCHDOWN
12:57,1,03:16,SDSU 12,5,22,PUNT
07:33,1,00:50,SDSU 21,3,-1,INTERCEPTION
06:31,1,01:12,SDSU 25,3,4,PUNT
02:08,1,01:34,SDSU 20,3,4,PUNT
10:53,2,06:55,SDSU 37,11,41,FIELD GOAL
02:19,2,01:10,SDSU 31,3,5,PUNT
15:00,3,04:32,SDSU 25,10,75,TOUCHDOWN
10:12,3,01:17,SDSU 25,3,53,INTERCEPTION
07:21,3,06:37,SDSU 26,9,9,PUNT
13:54,4,02:08,SDSU 6,3,6,PUNT
10:18,4,04:22,SDSU 25,8,64,FUMBLE
01:13,4,01:13,SDSU 25,3,-4,END OF HALF
Missouri Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:50,MIZZ 35,3,65,TOUCHDOWN
13:57,1,01:00,MIZZ 25,4,15,PUNT
09:41,1,02:03,MIZZ 31,6,69,TOUCHDOWN
06:43,1,00:12,SDSU 10,1,10,TOUCHDOWN
05:19,1,03:11,MIZZ 33,9,51,MISSED FG
00:34,1,04:41,MIZZ 40,10,23,MISSED FG
03:50,2,01:31,MIZZ 32,3,8,PUNT
01:09,2,01:09,MIZZ 30,5,5,END OF HALF
10:12,3,00:00,SDSU 0,0,0,TOUCHDOWN
08:55,3,01:34,MIZZ 20,3,7,PUNT
00:44,3,01:50,MIZZ 8,7,38,PUNT
11:46,4,01:28,SDSU 32,3,32,TOUCHDOWN
05:56,4,04:43,MIZZ 14,9,60,FIELD GOAL
