0650052920140830,,650,529
South Dakota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:26,1,04:24,SDAK 37,9,33,Field Goal
07:58,1,02:35,SDAK 28,4,20,PUNT
03:11,1,04:15,SDAK 28,8,12,PUNT
13:15,2,03:49,50,8,42,Field Goal
07:41,2,01:59,SDAK 24,3,9,PUNT
05:30,2,00:11,SDAK 20,1,20,FUMBLE
03:57,2,02:21,SDAK 25,6,75,Touchdown
00:14,2,00:14,SDAK 25,1,4,End of Half
15:00,3,01:44,SDAK 19,4,9,PUNT
10:17,3,02:19,SDAK 10,3,3,PUNT
07:58,3,04:08,SDAK 22,8,49,Downs
14:31,4,01:50,SDAK 23,3,5,PUNT
09:21,4,09:15,SDAK 18,17,69,Downs
Oregon Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:34,ORE 26,4,74,Touchdown
09:02,1,01:04,ORE 37,3,63,Touchdown
05:23,1,02:12,ORE 3,9,97,TOUCHDOWN
13:56,2,00:41,ORE 29,3,-1,PUNT
09:26,2,01:45,ORE 42,5,58,Touchdown
05:42,2,00:12,ORE 46,1,54,FUMBLE
05:19,2,01:22,SDAK 40,5,40,TOUCHDOWN
01:36,2,01:22,ORE 24,10,76,Touchdown
13:16,3,02:59,ORE 30,6,23,PUNT
07:58,3,00:00,SDAK 0,0,0,TOUCHDOWN
03:50,3,04:19,ORE 29,13,71,Touchdown
12:41,4,03:20,ORE 20,10,80,Touchdown
00:06,4,00:06,ORE 13,1,8,END OF HALF
