0651066320141115,,651,663
South Florida Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:50,1,07:18,USF 11,14,76,Downs
04:17,1,01:38,USF 44,3,-5,Punt
12:44,2,05:09,USF 13,8,22,Punt
04:14,2,02:52,USF 12,6,49,Fumble
00:21,2,00:04,USF 30,0,3,Fumble
14:55,3,03:51,USF 22,6,17,Punt
04:04,3,02:39,USF 20,5,19,Punt
12:37,4,01:07,USF 33,3,6,Punt
09:45,4,01:43,SMU 48,5,48,Touchdown
06:02,4,05:58,USF 25,21,75,Touchdown
SMU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:10,USF 39,3,-2,Punt
06:32,1,02:15,SMU 13,3,-4,Punt
02:39,1,04:49,SMU 17,9,72,Field Goal
07:35,2,03:21,SMU 16,8,32,Punt
01:22,2,01:05,SMU 39,5,61,Touchdown
00:17,2,00:17,USF 33,3,1,Field Goal
11:04,3,07:00,SMU 18,13,63,Missed FG
01:25,3,03:48,SMU 2,6,23,Punt
11:30,4,01:45,SMU 9,3,4,Punt
07:53,4,01:51,SMU 24,3,5,Punt
