0654032820140906,,654,328
Southeast Missouri State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:51,SEMO 25,3,1,Punt
11:12,1,00:41,SEMO 25,3,3,Interception
09:41,1,01:45,SEMO 27,3,9,Punt
04:01,1,01:26,SEMO 29,3,6,Punt
00:04,1,02:04,SEMO 35,3,1,Punt
10:04,2,02:48,SEMO 10,6,20,Punt
05:10,2,04:44,SEMO 16,12,-3,Interception
12:16,3,01:42,KU 22,4,22,Touchdown
10:03,3,00:09,SEMO 20,1,0,Interception
08:21,3,02:11,SEMO 23,3,-2,Punt
05:08,3,01:25,SEMO 12,3,-3,Punt
14:57,4,02:04,SEMO 34,5,66,Touchdown
10:50,4,00:11,SEMO 32,1,68,Touchdown
08:07,4,06:34,SEMO 11,14,89,Touchdown
Kansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:09,1,01:57,KU 40,6,34,Field Goal
10:31,1,00:46,SEMO 36,3,36,Touchdown
07:56,1,03:50,KU 19,9,81,Touchdown
02:35,1,02:31,KU 34,6,66,Touchdown
13:00,2,02:56,KU 11,6,24,Punt
07:16,2,02:06,KU 35,3,5,Punt
00:26,2,00:26,SEMO 38,2,-21,End of Half
14:54,3,02:38,KU 38,9,30,Missed FG
10:28,3,00:11,KU 33,1,67,Touchdown
09:54,3,01:33,SEMO 32,4,9,Downs
06:10,3,01:02,KU 36,3,1,Punt
03:43,3,03:43,KU 41,11,43,Field Goal
12:52,4,02:02,SEMO 44,6,12,Missed FG
10:39,4,02:32,KU 25,5,30,Punt
01:31,4,01:31,KU 41,3,5,End of Game
01:31,4,01:31,KU 41,3,5,End of Game
