0655071820140913,,655,718
Southeastern Louisiana Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:48,1,01:41,SELA 7,3,5,Punt
04:30,1,02:59,SELA 25,5,7,Punt
00:21,1,00:54,TULN 45,4,-5,Downs
13:21,2,02:09,SELA 25,3,2,Punt
09:33,2,04:45,SELA 35,11,38,Field Goal
04:34,2,02:03,TULN 29,4,3,Missed FG
00:04,2,00:04,SELA 25,1,13,End of Half
15:00,3,01:44,SELA 25,3,-1,Punt
12:46,3,01:56,SELA 37,4,18,Interception
08:42,3,02:00,SELA 7,3,1,Punt
03:59,3,03:24,SELA 20,8,80,Touchdown
12:51,4,00:22,TULN 33,4,0,Field Goal
11:13,4,02:30,TULN 21,8,21,Touchdown
07:25,4,00:20,SELA 43,1,15,Interception
05:12,4,00:36,SELA 48,4,-4,Fumble
01:24,4,01:20,SELA 30,8,64,Downs
Tulane Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:12,TULN 25,9,33,Punt
08:07,1,03:37,SELA 46,8,46,Touchdown
01:31,1,01:10,TULN 15,3,-8,Punt
14:27,2,01:06,SELA 35,3,35,Touchdown
11:12,2,01:39,TULN 30,4,70,Touchdown
04:41,2,00:07,TULN 17,1,12,Fumble
02:31,2,02:27,TULN 26,10,74,Touchdown
13:16,3,00:30,SELA 45,2,4,Interception
10:50,3,02:08,TULN 37,3,6,Punt
06:42,3,02:43,SELA 41,7,24,Missed FG
00:33,3,02:42,TULN 18,6,15,Interception
12:20,4,00:53,TULN 24,2,76,Touchdown
08:33,4,01:08,TULN 15,3,2,Punt
07:05,4,01:53,TULN 16,3,1,Punt
04:36,4,03:12,SELA 44,6,14,Downs
00:04,4,00:00,TULN 6,1,-1,
