0657006720140913,,657,67
USC Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:49,USC 34,3,-9,Punt
11:33,1,02:02,USC 11,6,42,Punt
08:05,1,02:00,BC 38,6,38,Touchdown
04:30,1,01:14,BC 33,4,-1,Field Goal
14:56,2,00:48,BC 49,3,49,Touchdown
10:08,2,02:17,USC 10,3,9,Punt
06:11,2,01:21,USC 18,3,9,Punt
03:20,2,01:42,USC 31,3,5,Punt
01:27,2,00:54,USC 21,4,-3,Punt
00:14,2,00:14,USC 30,1,11,End of Half
10:27,3,01:30,USC 10,3,-1,Punt
07:06,3,02:30,USC 9,4,3,Punt
02:43,3,02:43,USC 22,5,8,Punt
14:13,4,01:51,USC 17,4,27,Punt
07:42,4,03:10,USC 25,10,75,Touchdown
03:30,4,02:12,USC 35,9,65,Touchdown
Boston College Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:11,1,01:38,BC 41,3,7,Punt
09:31,1,01:26,BC 10,3,1,Punt
06:05,1,01:35,BC 18,3,-10,Punt
03:16,1,03:20,BC 22,7,78,Touchdown
14:08,2,04:00,BC 25,8,75,Touchdown
07:51,2,01:40,BC 24,3,5,Punt
04:50,2,01:30,BC 42,4,19,Interception
01:38,2,00:11,BC 46,1,54,Touchdown
00:33,2,00:19,BC 48,4,22,Missed FG
15:00,3,04:33,BC 27,8,30,Punt
08:57,3,01:51,USC 41,5,41,Touchdown
04:36,3,01:53,BC 38,3,7,Punt
00:00,3,00:47,BC 32,3,3,Punt
12:22,4,04:40,BC 28,9,64,Field Goal
04:32,4,01:02,BC 28,2,72,Touchdown
01:18,4,01:18,USC 45,4,38,End of Game
