0659055920140920,,659,559
Southern Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:38,1,01:18,SIU 14,4,9,Fumble
07:48,1,03:36,SIU 36,7,24,Interception
04:06,1,01:02,PUR 32,4,1,Missed FG
00:07,1,01:32,SIU 23,3,-12,Punt
09:59,2,01:40,SIU 25,4,28,Punt
06:43,2,05:38,SIU 32,13,55,Field Goal
15:00,3,01:40,SIU 25,5,55,Downs
10:52,3,04:33,SIU 47,10,53,Touchdown
03:31,3,04:55,SIU 20,12,66,Field Goal
12:40,4,01:22,SIU 40,3,3,Punt
03:28,4,00:53,SIU 6,8,37,Downs
00:36,4,00:36,SIU 35,4,22,End of Game
Purdue Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:22,PUR 25,6,21,Punt
10:20,1,02:32,SIU 23,6,23,Touchdown
04:12,1,00:06,SIU 44,1,44,Touchdown
03:04,1,02:57,PUR 31,10,56,Field Goal
13:35,2,03:36,SIU 26,7,26,Touchdown
08:19,2,01:36,PUR 3,3,8,Punt
01:05,2,01:05,PUR 42,5,46,Field Goal
13:20,3,02:28,PUR 20,5,33,Fumble
06:19,3,02:48,PUR 37,5,13,Punt
13:36,4,00:56,PUR 25,3,0,Punt
11:18,4,07:50,PUR 11,15,83,Downs
02:35,4,01:59,SIU 43,6,43,Touchdown
