0663016420141206,,663,164
SMU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:59,SMU 43,10,30,Field Goal
07:59,1,01:16,SMU 5,3,8,Punt
06:43,1,01:28,CONN 46,6,36,Field Goal
03:00,1,00:47,SMU 27,2,5,Fumble
02:13,1,01:59,SMU 26,3,0,Punt
14:15,2,00:57,SMU 20,3,6,Punt
09:29,2,01:47,SMU 24,5,17,Interception
05:38,2,00:53,SMU 16,3,0,Punt
01:10,2,01:10,SMU 25,7,45,Missed FG
15:00,3,01:57,CONN 27,5,27,Touchdown
11:20,3,02:42,CONN 44,6,14,Punt
07:13,3,03:23,SMU 42,7,58,Touchdown
00:59,3,00:59,SMU 32,3,-1,Punt
13:21,4,03:59,SMU 30,8,70,Touchdown
06:41,4,01:36,CONN 48,3,14,Fumble
04:13,4,04:13,SMU 33,9,52,End of Game
Connecticut Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:56,1,03:57,CONN 29,8,33,Punt
00:00,1,00:00,50,0,-4,Fumble
05:15,1,02:15,CONN 29,3,7,Punt
02:13,1,00:00,SMU 32,0,0,Touchdown
00:14,1,00:59,CONN 33,4,40,Interception
13:18,2,03:49,CONN 30,7,70,Touchdown
07:42,2,02:04,CONN 41,3,9,Punt
04:45,2,03:35,SMU 48,7,48,Touchdown
15:00,3,00:00,CONN 20,0,7,Fumble
13:03,3,01:43,CONN 26,3,5,Punt
08:38,3,01:25,CONN 7,3,51,Fumble
03:50,3,02:51,CONN 29,6,16,Punt
15:00,4,01:39,SMU 31,4,2,Missed FG
09:22,4,02:41,CONN 26,5,22,Fumble
05:05,4,00:52,CONN 34,3,2,Punt
