0664049720141018,,664,497
Southern Mississippi Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:35,1,01:52,USM 20,6,80,Touchdown
10:49,1,01:59,USM 37,5,28,Interception
06:36,1,05:12,USM 21,12,58,Field Goal
14:29,2,04:06,USM 28,9,64,Interception
06:14,2,02:12,USM 17,3,9,Punt
01:37,2,01:37,USM 21,10,69,Field Goal
15:00,3,05:49,USM 23,13,77,Touchdown
06:08,3,04:16,USM 4,8,96,Touchdown
00:31,3,03:30,UNT 49,8,28,Field Goal
08:07,4,04:29,USM 20,8,6,Punt
02:09,4,02:09,USM 28,3,6,End of Game
North Texas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:25,UNT 25,5,34,Punt
11:43,1,00:54,UNT 25,3,7,Punt
08:50,1,02:14,UNT 20,5,18,Punt
01:24,1,01:55,UNT 25,5,75,Touchdown
10:23,2,04:09,UNT 20,9,61,Field Goal
04:02,2,02:25,UNT 40,7,53,Field Goal
09:11,3,03:03,UNT 14,7,86,Touchdown
01:52,3,01:21,UNT 25,4,11,Punt
12:01,4,03:54,UNT 25,11,59,Missed FG
03:38,4,01:29,UNT 36,8,36,Downs
