0665067120140830,,665,671
Southern Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:18,SOU 15,3,-1,Punt
12:26,1,02:22,SOU 41,6,11,Punt
06:12,1,02:05,SOU 25,6,64,Missed FG
02:27,1,00:42,SOU 35,3,2,Punt
15:00,2,01:51,SOU 14,3,-7,Punt
12:11,2,02:27,SOU 35,7,21,Downs
07:35,2,01:46,SOU 9,3,9,Punt
04:27,2,02:32,SOU 20,5,15,Punt
00:05,2,00:05,SOU 35,1,0,End of Half
13:07,3,04:13,SOU 20,10,80,Touchdown
04:37,3,02:02,SOU 25,3,9,Punt
00:43,3,00:43,SOU 12,3,9,Punt
13:52,4,02:17,SOU 8,6,18,Punt
06:42,4,05:56,SOU 24,14,56,Downs
Louisiana Lafayette Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:42,1,01:16,ULL 45,4,12,Interception
10:04,1,03:52,ULL 21,10,64,Field Goal
04:07,1,01:40,ULL 20,6,80,Touchdown
01:45,1,01:45,ULL 8,6,32,Punt
13:09,2,00:58,SOU 43,4,43,Touchdown
09:44,2,02:09,ULL 44,6,56,Touchdown
05:49,2,01:22,ULL 19,3,4,Punt
01:55,2,01:50,ULL 17,5,13,Punt
15:00,3,01:53,ULL 39,4,15,Punt
08:54,3,04:17,ULL 35,11,65,Touchdown
02:35,3,01:52,ULL 27,5,24,Interception
15:00,4,01:08,ULL 41,3,59,Touchdown
11:35,4,04:53,ULL 45,10,55,Touchdown
00:46,4,00:46,ULL 20,1,-2,End of Game
