0667009620140920,,667,96
Southern Utah Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:38,SUU 25,3,4,Punt
11:41,1,01:27,SUU 20,5,40,Punt
08:37,1,00:53,SUU 16,3,2,Punt
06:36,1,01:59,SUU 40,3,0,Punt
03:21,1,03:26,SUU 32,12,65,Field Goal
13:41,2,03:15,SUU 47,10,28,Missed FG
07:33,2,01:38,SUU 30,5,70,Touchdown
03:37,2,00:10,SUU 15,1,0,Interception
03:21,2,01:37,SUU 25,3,1,Punt
00:29,2,00:29,SUU 29,1,1,End of Half
13:12,3,01:58,SUU 6,3,-3,Punt
10:41,3,00:09,SUU 19,1,24,Fumble
07:26,3,01:43,SUU 20,3,9,Punt
02:05,3,01:31,SUU 16,3,2,Punt
13:59,4,01:40,SUU 3,4,97,Touchdown
11:29,4,01:01,SUU 25,3,5,Punt
06:44,4,02:00,SUU 22,3,9,Punt
Fresno State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:22,1,01:41,FRES 27,3,6,Punt
10:14,1,01:37,FRES 20,6,64,Downs
07:44,1,01:08,FRES 44,3,2,Interception
04:37,1,01:16,FRES 33,6,35,Downs
14:55,2,01:14,FRES 19,3,7,Punt
10:26,2,02:47,FRES 26,9,74,Touchdown
05:55,2,02:18,FRES 30,6,16,Punt
03:27,2,00:00,SUU 0,0,0,Touchdown
01:44,2,01:15,FRES 35,8,65,Touchdown
15:00,3,01:48,FRES 25,5,29,Punt
11:14,3,00:26,SUU 6,2,6,Touchdown
10:32,3,02:58,SUU 39,8,39,Touchdown
05:43,3,03:32,FRES 24,10,76,Touchdown
00:34,3,01:35,FRES 41,5,20,Punt
12:12,4,00:43,FRES 14,2,86,Touchdown
10:28,4,03:37,FRES 32,9,68,Touchdown
04:44,4,04:44,FRES 22,7,62,End of Game
