0669052120140906,,669,521
Missouri State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:38,1,02:04,MOST 34,3,4,Punt
08:42,1,02:44,MOST 34,5,17,Punt
03:44,1,01:10,MOST 25,4,75,Touchdown
00:17,1,01:44,MOST 29,4,16,Punt
11:47,2,03:23,MOST 27,9,51,Missed FG
06:52,2,02:19,MOST 20,3,-3,Punt
15:00,3,01:27,MOST 25,3,7,Punt
12:01,3,02:52,MOST 25,4,14,Punt
06:51,3,04:57,MOST 26,10,74,Touchdown
14:41,4,05:13,MOST 25,11,75,Touchdown
07:25,4,04:04,MOST 37,8,42,Field Goal
01:26,4,01:26,OKST 42,3,7,End of Game
Oklahoma State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:22,OKST 22,10,59,Field Goal
09:34,1,00:52,MOST 36,4,2,Missed FG
05:58,1,02:14,MOST 21,5,21,Touchdown
02:34,1,02:17,OKST 47,8,24,Missed FG
13:33,2,01:46,OKST 45,6,55,Touchdown
08:24,2,01:32,OKST 22,3,78,Touchdown
04:33,2,04:33,OKST 42,11,56,Field Goal
13:33,3,01:32,OKST 32,4,68,Touchdown
09:09,3,02:18,OKST 41,7,42,Field Goal
01:54,3,02:13,OKST 43,9,38,Field Goal
09:28,4,02:03,OKST 25,6,38,Downs
03:21,4,01:55,OKST 15,3,9,Punt
