0670030120140920,,670,301
Texas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:47,1,01:37,TXST 25,3,5,Punt
12:14,1,02:58,TXST 45,8,55,Touchdown
07:56,1,04:18,TXST 28,11,72,Touchdown
02:40,1,02:40,TXST 35,6,2,Punt
13:35,2,04:49,TXST 31,12,41,Missed FG
06:59,2,04:42,TXST 10,13,90,Touchdown
01:14,2,01:14,TXST 25,5,22,End of Half
15:00,3,01:59,TXST 25,3,-6,Punt
12:50,3,01:38,TXST 25,3,7,Punt
09:18,3,01:47,TXST 29,3,4,Punt
06:57,3,00:31,ILL 13,2,13,Touchdown
04:37,3,02:48,TXST 13,6,33,Punt
14:45,4,02:57,TXST 20,5,16,Punt
07:42,4,01:47,TXST 36,5,11,Punt
03:08,4,00:27,TXST 25,2,14,Interception
02:41,4,01:29,TXST 25,9,75,Touchdown
Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:13,ILL 25,1,75,Touchdown
13:10,1,00:56,ILL 20,3,1,Punt
09:16,1,01:20,ILL 25,3,5,Punt
03:38,1,00:58,ILL 25,3,0,Punt
00:00,1,01:25,ILL 13,3,7,Punt
08:46,2,01:47,ILL 27,4,19,Punt
02:17,2,01:03,ILL 25,5,75,Touchdown
13:01,3,00:11,TXST 33,1,33,Touchdown
11:12,3,01:54,ILL 31,8,69,Touchdown
07:31,3,00:34,ILL 36,3,5,Interception
06:26,3,01:49,ILL 25,6,18,Punt
01:49,3,02:04,ILL 20,6,22,Punt
11:48,4,04:06,ILL 22,10,78,Touchdown
05:55,4,02:47,ILL 26,8,72,Field Goal
01:12,4,01:12,TXST 46,3,14,End of Game
