0671049820141115,,671,498
Louisiana Lafayette Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:01,ULL 25,7,70,Field Goal
09:04,1,02:01,ULL 39,5,61,Touchdown
02:24,1,01:42,ULL 35,4,65,Touchdown
12:38,2,05:47,ULL 26,12,53,Field Goal
04:22,2,03:31,ULL 21,8,50,Missed FG
11:03,3,03:04,ULL 26,6,25,Punt
06:28,3,01:34,ULM 46,3,-9,Interception
01:09,3,02:31,ULL 40,5,35,Downs
12:32,4,01:32,ULM 16,3,16,Touchdown
06:46,4,03:53,ULL 25,7,75,Touchdown
01:47,4,00:29,ULL 35,3,1,Punt
00:33,4,00:33,ULM 19,1,-1,End of Game
00:33,4,00:00,ULM 19,1,-1,
Louisiana Monroe Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:59,1,01:55,ULM 13,5,48,Downs
07:03,1,04:39,ULM 15,10,85,Touchdown
00:42,1,03:04,ULM 17,11,66,Field Goal
06:51,2,02:29,ULM 17,6,19,Punt
00:51,2,00:51,ULM 29,6,41,Field Goal
15:00,3,03:57,ULM 22,9,52,Fumble
07:59,3,01:31,ULM 11,3,-5,Punt
04:54,3,03:45,ULM 20,7,40,Downs
13:38,4,01:06,ULM 25,4,-5,Fumble
11:00,4,04:14,ULM 35,11,65,Touchdown
02:53,4,01:06,ULM 43,4,57,Touchdown
01:18,4,00:45,ULM 21,3,-2,Fumble
01:18,4,00:45,ULM 21,3,-2,Fumble
