0674011020141128,,674,110
Stanford Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:15,STAN 25,3,0,Punt
11:18,1,05:18,STAN 25,10,75,Touchdown
04:42,1,04:48,STAN 10,6,14,Punt
11:46,2,05:22,STAN 25,10,75,Touchdown
04:38,2,03:57,STAN 7,9,92,Touchdown
13:05,3,03:49,STAN 20,7,80,Touchdown
07:52,3,01:35,STAN 36,3,5,Punt
01:26,3,05:46,STAN 20,10,63,Field Goal
06:47,4,01:47,STAN 4,3,9,Punt
03:12,4,03:12,UCLA 48,4,11,End of Game
UCLA Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:45,1,01:27,UCLA 36,5,64,Touchdown
06:00,1,01:18,UCLA 16,3,7,Punt
14:54,2,03:08,STAN 49,10,25,Field Goal
06:24,2,01:46,UCLA 25,5,31,Punt
00:41,2,00:41,UCLA 25,2,-7,End of Half
15:00,3,01:55,UCLA 25,5,15,Punt
09:16,3,01:24,UCLA 17,3,-2,Punt
06:17,3,04:51,UCLA 19,12,51,Interception
10:40,4,03:53,UCLA 25,16,71,Downs
05:00,4,01:48,UCLA 36,7,12,Downs
