0676032720140830,,676,327
Stephen F Austin Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:24,SFA 25,6,11,Punt
07:09,1,00:38,SFA 21,3,6,PUNT
14:51,2,01:14,SFA 25,3,4,Punt
11:13,2,04:16,SFA 23,8,77,Touchdown
03:04,2,02:11,SFA 17,13,67,Field Goal
13:53,3,02:19,SFA 41,7,18,Downs
08:55,3,00:13,SFA 21,1,1,Fumble
07:41,3,00:28,SFA 26,3,0,Punt
05:50,3,01:47,SFA 47,5,53,Touchdown
14:50,4,01:37,SFA 14,3,4,Punt
08:38,4,03:00,SFA 18,5,7,Punt
02:34,4,02:08,SFA 25,4,2,Punt
Kansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:36,1,05:27,KSU 31,11,69,Touchdown
06:31,1,06:40,KSU 40,12,60,TOUCHDOWN
13:37,2,02:24,KSU 40,7,60,Touchdown
06:57,2,03:53,50,7,50,Touchdown
00:53,2,00:53,KSU 35,6,38,MISSED FG
15:00,3,01:07,KSU 31,3,-8,Punt
11:34,3,02:39,KSU 41,6,59,Touchdown
08:42,3,01:01,SFA 22,3,22,Touchdown
07:13,3,01:23,KSU 39,3,6,Interception
04:03,3,04:13,KSU 47,10,27,Field Goal
13:13,4,04:35,KSU 45,10,55,Touchdown
05:38,4,03:04,SFA 41,5,20,Field Goal
00:26,4,00:26,KSU 32,1,5,END OF HALF
