0683016420140906,,683,164
Stony Brook Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:44,1,03:23,STON 29,5,20,Punt
07:54,1,00:00,CONN 0,0,0,Touchdown
07:09,1,02:08,STON 32,3,9,Punt
04:16,1,02:02,CONN 20,4,4,Field Goal
11:45,2,01:29,STON 25,4,7,Punt
08:40,2,02:36,CONN 40,3,-6,Punt
04:41,2,01:14,STON 18,3,0,Punt
01:51,2,01:35,STON 25,5,15,Punt
15:00,3,01:31,STON 25,3,6,Punt
11:43,3,02:21,STON 7,3,4,Punt
09:22,3,02:10,STON 12,3,1,Punt
04:28,3,02:38,STON 1,5,44,Punt
00:15,3,01:33,STON 23,5,48,Downs
12:08,4,01:34,STON 10,3,5,Punt
07:39,4,05:46,STON 12,14,88,Touchdown
00:37,4,00:22,STON 6,4,-3,Downs
Connecticut Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:16,CONN 35,5,40,Field Goal
09:21,1,01:27,CONN 1,3,-1,Fumble
07:54,1,00:45,CONN 16,3,6,Punt
05:01,1,00:45,CONN 25,2,-5,Fumble
02:14,1,05:29,CONN 35,11,55,Field Goal
10:16,2,01:36,CONN 22,3,-16,Punt
06:04,2,01:23,CONN 17,4,19,Punt
03:27,2,01:36,CONN 30,4,70,Touchdown
00:16,2,00:16,CONN 29,2,11,End of Half
13:29,3,01:46,CONN 28,6,24,Punt
09:22,3,00:00,STON 0,0,0,Touchdown
07:12,3,02:44,CONN 40,6,20,Punt
01:50,3,01:35,CONN 30,3,-1,Punt
13:42,4,01:34,CONN 29,4,19,Punt
10:34,4,02:55,STON 49,6,6,Punt
01:53,4,01:16,CONN 41,3,9,Punt
00:15,4,00:15,STON 2,1,-3,End of Game
