0688014720141025,,688,147
Syracuse Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:24,SYR 19,3,0,Punt
11:50,1,02:12,SYR 13,5,20,Punt
07:37,1,01:43,SYR 16,3,-6,Punt
05:45,1,05:00,SYR 14,13,61,Field Goal
12:02,2,02:48,SYR 20,6,16,Punt
04:37,2,01:16,SYR 25,3,5,Interception
02:08,2,00:46,SYR 8,4,18,Punt
01:12,2,01:12,CLEM 25,4,-6,End of Half
13:46,3,00:09,SYR 26,2,5,Fumble
12:16,3,00:56,SYR 14,3,3,Punt
10:41,3,00:09,CLEM 42,1,0,Interception
06:36,3,01:27,SYR 12,3,-3,Punt
03:30,3,01:48,SYR 28,4,12,Punt
14:28,4,02:22,SYR 31,4,7,Punt
10:10,4,01:53,SYR 49,7,27,Missed FG
Clemson Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:36,1,01:46,CLEM 32,3,7,Punt
09:38,1,02:01,CLEM 19,5,13,Punt
05:54,1,00:09,SYR 48,1,0,Interception
00:45,1,03:43,CLEM 20,9,42,Punt
09:14,2,04:37,CLEM 11,12,69,Field Goal
03:21,2,01:13,SYR 33,4,25,Fumble
01:22,2,00:10,CLEM 24,1,0,Fumble
15:00,3,01:14,CLEM 27,3,5,Punt
13:37,3,01:21,SYR 31,3,-12,Punt
11:20,3,00:39,CLEM 32,3,12,Interception
10:32,3,03:56,50,12,49,Field Goal
05:09,3,01:39,SYR 46,5,22,Field Goal
01:42,3,02:14,CLEM 27,7,73,Touchdown
12:06,4,01:56,CLEM 16,3,-3,Punt
08:17,4,08:17,CLEM 24,15,67,End of Game
