0690012820141025,,690,128
Temple Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:21,1,00:06,TEM 18,2,2,Fumble
08:31,1,02:48,TEM 18,5,7,Punt
00:44,1,02:20,TEM 25,8,75,Touchdown
10:00,2,01:07,TEM 25,3,-3,Punt
07:45,2,00:00,UCF 6,0,0,Touchdown
06:10,2,00:51,TEM 47,3,0,Punt
04:02,2,01:28,TEM 31,3,-6,Punt
00:00,2,00:00,UCF 47,1,0,Interception
15:00,3,01:04,TEM 25,4,21,Interception
11:27,3,01:10,TEM 32,3,3,Punt
06:34,3,01:40,TEM 20,3,-6,Punt
00:14,3,01:37,TEM 37,5,9,Punt
11:51,4,01:34,TEM 15,3,9,Punt
10:17,4,03:38,UCF 15,7,9,Interception
03:36,4,01:48,50,6,42,Downs
UCF Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:39,UCF 25,12,75,Touchdown
10:15,1,01:44,TEM 11,4,5,Field Goal
05:43,1,04:59,UCF 42,11,58,Touchdown
13:24,2,03:24,UCF 17,7,83,Touchdown
08:53,2,01:08,UCF 38,3,-6,Punt
07:45,2,01:35,UCF 28,3,-2,Punt
05:19,2,01:17,UCF 27,3,8,Punt
02:34,2,02:31,UCF 38,11,60,Field Goal
00:00,2,00:00,UCF 17,0,0,
13:56,3,02:29,50,5,18,Downs
10:17,3,03:43,UCF 25,7,35,Punt
04:54,3,04:40,UCF 48,9,52,Touchdown
13:37,4,01:46,UCF 14,4,71,Fumble
00:00,4,00:00,UCF 15,0,0,Fumble
06:39,4,03:03,UCF 20,6,10,Punt
01:48,4,01:48,UCF 8,3,4,End of Game
