0693012920140828,,693,129
Chattanooga Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:32,CHAT 25,2,13,Interception
13:33,1,01:37,CHAT 11,4,13,Punt
11:50,1,01:29,CMU 33,4,3,Field Goal
07:41,1,03:13,CHAT 5,6,26,Punt
00:23,1,05:48,CHAT 6,13,94,Touchdown
04:25,2,00:51,CHAT 26,2,74,Touchdown
01:43,2,00:37,CHAT 22,3,4,Punt
08:56,3,00:40,CHAT 20,2,9,Interception
07:30,3,03:09,CHAT 25,5,17,Punt
01:52,3,02:00,CHAT 10,3,-6,Punt
10:35,4,01:31,CHAT 20,3,-1,Punt
04:26,4,00:39,CMU 46,2,3,Interception
02:40,4,01:01,CHAT 5,5,12,Interception
Central Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:28,1,00:55,CHAT 44,3,2,Punt
11:56,1,00:06,CMU 32,1,1,Fumble
10:21,1,02:40,CMU 25,6,20,Punt
04:28,1,04:05,CMU 27,8,30,Punt
09:35,2,05:10,CMU 22,11,52,Missed FG
03:34,2,01:51,CMU 25,5,75,Touchdown
01:06,2,01:06,CMU 32,3,3,End of Half
15:00,3,06:04,CMU 26,12,74,Touchdown
08:16,3,00:46,CHAT 20,2,20,Touchdown
04:21,3,02:29,CHAT 19,4,9,Downs
14:52,4,04:17,CHAT 32,7,27,Missed FG
09:04,4,04:38,CMU 44,7,2,Downs
03:47,4,01:07,CMU 48,3,8,Punt
01:39,4,01:39,CHAT 40,3,-7,End of Game
