0694025720140927,,694,257
Tennessee Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:21,TENN 29,9,43,Field Goal
08:08,1,03:04,TENN 28,9,72,Touchdown
04:01,1,01:51,TENN 20,3,-8,Punt
01:07,1,01:18,TENN 25,3,-3,Punt
14:07,2,01:06,UGA 47,3,6,Punt
08:45,2,03:14,TENN 16,5,15,Punt
01:17,2,00:59,TENN 17,7,83,Touchdown
14:25,3,01:58,TENN 29,5,21,Punt
11:08,3,01:03,TENN 48,3,4,Punt
08:33,3,03:17,TENN 41,8,36,Fumble
00:15,3,01:38,TENN 9,5,1,Punt
12:45,4,01:36,TENN 20,6,13,Punt
09:31,4,01:24,TENN 48,4,52,Touchdown
04:38,4,00:11,TENN 1,2,-1,Fumble
04:27,4,02:13,TENN 42,7,58,Touchdown
Georgia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:39,1,03:31,UGA 20,7,14,Punt
05:04,1,01:03,UGA 31,3,5,Punt
02:10,1,01:03,TENN 32,4,32,Touchdown
14:49,2,00:42,UGA 24,3,16,Interception
13:01,2,04:16,UGA 13,11,87,Touchdown
05:31,2,04:14,UGA 19,11,81,Touchdown
00:18,2,00:18,UGA 40,2,5,End of Half
15:00,3,00:35,UGA 32,2,13,Interception
12:27,3,01:19,UGA 16,3,2,Punt
10:05,3,01:32,UGA 5,3,4,Punt
05:16,3,05:01,UGA 23,9,15,Punt
13:37,4,00:52,UGA 47,3,7,Punt
11:09,4,01:38,UGA 23,5,77,Touchdown
08:07,4,03:29,UGA 14,6,35,Punt
02:14,4,00:00,TENN 45,0,0,Downs
02:14,4,02:14,TENN 44,6,22,End of Game
