0695033420140830,,695,334
Tennessee-Martin Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:34,1,01:21,UTM 36,3,5,PUNT
06:53,1,04:42,UTM 29,7,32,PUNT
01:44,1,01:55,UTM 25,3,6,Punt
13:10,2,02:34,UTM 25,9,43,INTERCEPTION
08:10,2,04:10,UTM 25,6,17,Punt
00:54,2,00:54,UTM 25,2,6,END OF HALF
13:46,3,01:05,UTM 24,4,34,INTERCEPTION
12:02,3,03:25,UTM 25,5,21,Punt
06:10,3,04:57,UTM 25,10,64,FUMBLE
01:13,3,04:06,UTM 25,14,75,Touchdown
10:50,4,05:01,UTM 24,12,76,Touchdown
04:05,4,02:00,UTM 10,6,24,FUMBLE
Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:26,UK 29,9,36,Downs
10:13,1,03:11,UK 25,8,75,Touchdown
02:20,1,00:36,UK 20,2,80,Touchdown
14:49,2,01:39,UK 20,4,80,Touchdown
10:36,2,02:26,UK 10,8,90,Touchdown
04:00,2,03:06,UK 9,9,91,Touchdown
15:00,3,01:14,UTM 42,5,18,Missed FG
12:41,3,00:39,UTM 43,3,43,Touchdown
08:37,3,02:27,UK 13,5,84,Field Goal
12:07,4,01:17,UK 25,3,5,PUNT
05:40,4,01:27,UK 40,4,60,TOUCHDOWN
02:05,4,02:05,UTM 34,3,0,END OF HALF
