0697003720141108,,697,37
Texas A&M Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:28,TAMU 25,4,75,Touchdown
13:24,1,00:31,TAMU 42,3,58,Touchdown
07:16,1,02:12,TAMU 32,4,14,Punt
02:32,1,04:03,TAMU 6,11,94,Touchdown
11:49,2,01:20,TAMU 32,5,68,Touchdown
04:14,2,00:15,TAMU 36,1,0,Interception
10:49,3,03:32,TAMU 30,9,39,Missed FG
04:41,3,03:54,TAMU 25,9,71,Field Goal
14:54,4,07:00,TAMU 15,13,76,Field Goal
06:42,4,01:02,TAMU 18,3,2,Punt
02:37,4,01:09,TAMU 2,3,-2,Punt
00:54,4,00:54,TAMU 29,2,-4,End of Game
Auburn Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:32,1,00:08,50,1,8,Fumble
12:53,1,05:37,AUB 25,13,75,Touchdown
05:04,1,02:32,AUB 20,7,80,Touchdown
13:29,2,01:40,AUB 15,5,11,Punt
10:29,2,06:15,AUB 25,14,62,Field Goal
03:59,2,03:59,AUB 43,9,34,End of Half
15:00,3,04:11,AUB 18,6,12,Fumble
07:17,3,02:36,AUB 31,8,69,Touchdown
00:47,3,00:53,AUB 25,4,75,Touchdown
07:54,4,01:12,AUB 25,4,75,Touchdown
05:40,4,03:03,AUB 20,8,78,Fumble
01:28,4,00:34,TAMU 42,3,13,Fumble
