0698066320140927,,698,663
TCU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:04,1,00:30,SMU 33,2,33,Touchdown
11:06,1,04:18,TCU 48,11,50,Downs
04:53,1,02:29,TCU 44,8,28,Missed FG
00:56,1,02:38,TCU 34,9,66,Touchdown
06:56,2,02:48,TCU 1,11,99,Touchdown
01:51,2,01:01,TCU 30,6,70,Touchdown
15:00,3,01:38,TCU 25,5,25,Punt
12:14,3,00:34,SMU 14,2,14,Touchdown
09:36,3,01:29,TCU 36,3,8,Punt
07:26,3,02:25,SMU 47,5,47,Touchdown
03:26,3,02:46,TCU 44,8,56,Touchdown
11:54,4,03:06,TCU 6,9,85,Missed FG
08:38,4,01:52,TCU 43,3,5,Punt
05:16,4,00:08,SMU 25,1,25,Touchdown
SMU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:56,SMU 18,3,-12,Punt
12:30,1,01:24,SMU 8,3,1,Punt
06:48,1,01:55,SMU 2,3,6,Punt
02:24,1,01:28,SMU 28,4,18,Punt
13:09,2,06:13,SMU 23,15,76,Downs
04:01,2,02:10,SMU 28,7,42,Downs
00:44,2,00:44,SMU 24,2,1,End of Half
13:22,3,01:08,SMU 19,3,-8,Punt
11:35,3,01:59,SMU 9,3,7,Punt
08:07,3,00:41,SMU 46,2,1,Fumble
04:55,3,01:29,SMU 8,3,5,Punt
00:40,3,03:46,SMU 25,10,24,Punt
08:48,4,00:10,SMU 20,1,0,Interception
06:46,4,01:30,SMU 13,4,12,Fumble
05:02,4,05:02,SMU 23,15,72,End of Game
