0700031120141122,,700,311
Texas Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:30,1,02:33,ISU 47,8,47,Touchdown
09:44,1,01:28,TTU 15,6,16,Punt
06:18,1,00:31,TTU 16,2,84,Touchdown
00:30,1,00:45,TTU 18,3,0,Punt
12:30,2,01:21,TTU 23,3,-15,Punt
09:29,2,04:47,TTU 25,10,68,Interception
00:38,2,00:38,TTU 25,3,9,End of Half
15:00,3,01:56,TTU 35,5,16,Punt
10:52,3,02:22,TTU 11,6,89,Touchdown
04:47,3,00:30,TTU 13,2,87,Touchdown
01:16,3,02:02,TTU 15,7,37,Fumble
13:39,4,03:01,TTU 21,9,40,Downs
05:40,4,01:33,TTU 25,7,75,Touchdown
02:30,4,02:30,TTU 31,5,9,End of Game
Iowa State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:30,ISU 25,4,22,Fumble
10:49,1,01:05,ISU 40,4,18,Punt
08:16,1,01:58,ISU 24,5,16,Punt
05:47,1,05:09,ISU 25,12,75,Touchdown
14:45,2,02:15,ISU 35,8,42,Missed FG
11:09,2,01:40,50,4,50,Touchdown
04:42,2,04:04,ISU 5,16,91,Field Goal
13:04,3,02:07,ISU 20,5,80,Touchdown
08:30,3,03:43,ISU 25,8,29,Punt
04:17,3,03:01,ISU 25,5,20,Punt
14:14,4,00:30,ISU 48,2,52,Touchdown
10:38,4,04:58,ISU 39,9,37,Missed FG
04:01,4,01:31,ISU 27,6,42,Downs
