0703052220141011,,703,522
Texas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,06:44,TEX 25,13,64,Field Goal
08:04,1,01:59,TEX 25,4,15,Punt
04:12,1,01:28,TEX 17,4,4,Punt
01:23,1,01:30,TEX 22,3,-2,Punt
13:19,2,02:01,TEX 21,4,13,Interception
11:18,2,03:01,TEX 25,7,80,Touchdown
06:33,2,05:45,TEX 28,12,69,Field Goal
13:23,3,01:24,TEX 19,3,4,Punt
10:52,3,01:29,OKLA 49,3,3,Punt
07:25,3,02:04,TEX 20,5,12,Punt
04:17,3,01:32,TEX 17,3,8,Punt
01:46,3,02:36,TEX 11,5,8,Punt
12:50,4,04:26,TEX 25,12,75,Touchdown
06:38,4,01:41,OKLA 48,6,48,Touchdown
00:18,4,00:18,TEX 20,2,16,End of Game
Oklahoma Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
08:16,1,00:12,TEX 0,0,0,Touchdown
06:05,1,01:53,OKLA 17,3,0,Punt
02:44,1,01:21,OKLA 36,3,1,Punt
14:53,2,01:34,TEX 46,5,19,Field Goal
08:17,2,01:44,OKLA 30,3,8,Punt
00:48,2,00:48,OKLA 25,1,1,End of Half
15:00,3,01:37,OKLA 25,4,28,Punt
11:59,3,01:07,OKLA 16,3,5,Punt
09:23,3,01:58,OKLA 15,5,17,Punt
05:21,3,01:04,OKLA 37,5,63,Touchdown
02:45,3,00:59,50,3,-2,Punt
14:10,4,01:20,TEX 47,5,47,Touchdown
08:24,4,01:46,OKLA 25,3,8,Punt
04:57,4,04:39,OKLA 25,8,27,Punt
