0704032720140927,,704,327
UTEP Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:10,UTEP 17,3,1,Punt
09:36,1,02:14,UTEP 34,3,-2,Punt
05:54,1,01:19,UTEP 20,3,1,Punt
02:01,1,02:19,UTEP 17,3,9,Punt
13:46,2,02:06,UTEP 41,3,-6,Punt
08:52,2,02:25,UTEP 3,3,8,Punt
06:27,2,02:57,UTEP 35,6,-6,Punt
00:17,2,00:17,UTEP 27,1,5,End of Half
13:00,3,02:21,UTEP 20,3,0,Punt
09:48,3,04:22,UTEP 25,10,75,Touchdown
02:55,3,03:42,UTEP 19,7,31,Downs
12:32,4,02:57,UTEP 47,8,53,Touchdown
05:05,4,01:36,UTEP 25,4,75,Touchdown
01:00,4,00:43,KSU 6,2,6,Touchdown
Kansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:50,1,03:14,UTEP 25,7,17,Field Goal
07:22,1,01:28,KSU 22,3,5,Punt
04:35,1,02:34,KSU 49,6,51,Touchdown
14:42,2,00:56,KSU 20,3,0,Punt
11:40,2,02:48,KSU 37,5,63,Touchdown
06:27,2,00:00,UTEP 0,0,0,Touchdown
03:30,2,03:13,UTEP 20,5,20,Touchdown
15:00,3,02:00,KSU 25,5,75,Touchdown
10:39,3,00:51,UTEP 49,2,49,Touchdown
05:26,3,02:31,KSU 25,5,75,Touchdown
14:13,4,01:41,50,3,6,Punt
09:30,4,04:25,KSU 26,8,74,Touchdown
03:29,4,02:29,KSU 20,4,-8,Fumble
00:17,4,00:00,KSU 32,1,9,END OF HALF
