0706057420141108,,706,574
Texas San Antonio Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:23,1,02:04,UTSA 25,4,16,Punt
04:28,1,01:50,UTSA 40,3,8,Punt
11:46,2,01:04,UTSA 25,3,3,Punt
05:25,2,00:25,UTSA 24,3,0,Punt
02:03,2,02:03,UTSA 20,12,78,End of Half
14:55,3,00:59,UTSA 11,3,4,Punt
08:12,3,02:37,UTSA 31,3,-14,Punt
02:20,3,02:15,UTSA 36,4,-2,Punt
12:58,4,03:22,UTSA 15,9,85,Touchdown
03:57,4,01:03,UTSA 26,5,4,Punt
01:51,4,00:55,UTSA 29,6,57,Fumble
Rice Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:37,RICE 20,13,80,Touchdown
07:19,1,02:51,RICE 24,5,47,Interception
02:38,1,05:52,RICE 9,14,71,Field Goal
10:42,2,05:17,RICE 30,12,46,Missed FG
05:00,2,02:57,RICE 30,5,13,Punt
13:56,3,05:44,UTSA 42,11,11,Missed FG
05:35,3,03:07,RICE 34,7,66,Touchdown
00:05,3,02:07,RICE 24,5,19,Punt
09:36,4,05:39,RICE 25,10,49,Downs
02:54,4,01:03,RICE 34,3,3,Punt
00:56,4,00:00,RICE 7,2,-2,
