0709033120141104,,709,331
Toledo Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:06,TOL 25,11,66,Field Goal
07:31,1,02:45,TOL 20,8,69,Field Goal
02:46,1,01:25,TOL 33,4,19,Fumble
14:49,2,02:07,TOL 18,9,54,Field Goal
09:48,2,06:54,TOL 18,12,82,Touchdown
01:35,2,01:35,TOL 8,3,13,End of Half
13:00,3,01:40,TOL 48,5,52,Touchdown
08:25,3,04:32,TOL 25,8,75,Touchdown
01:58,3,01:54,TOL 25,6,0,Fumble
13:15,4,01:05,TOL 23,3,3,Punt
09:45,4,03:12,TOL 16,5,8,Punt
05:31,4,04:33,TOL 13,7,32,Punt
00:27,4,00:27,KENT 31,1,-2,End of Game
Kent State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:54,1,02:23,KENT 29,7,33,Punt
04:46,1,02:00,KENT 13,5,14,Punt
01:21,1,01:32,KENT 43,3,6,Punt
12:42,2,02:54,KENT 25,5,19,Punt
02:54,2,01:19,KENT 25,5,35,Punt
15:00,3,02:00,KENT 30,6,14,Interception
11:20,3,02:55,KENT 27,7,72,Touchdown
03:53,3,01:55,KENT 24,5,76,Touchdown
00:04,3,01:49,TOL 25,5,25,Touchdown
12:10,4,02:25,KENT 23,6,46,Fumble
06:33,4,01:02,KENT 25,3,-1,Punt
00:58,4,00:31,KENT 11,3,13,Interception
