0711076820140906,,711,768
Towson Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:56,1,04:11,TOWS 25,6,17,Punt
03:21,1,02:39,TOWS 25,6,29,Downs
14:04,2,01:59,TOWS 20,5,24,Downs
08:56,2,01:57,TOWS 24,3,-5,Punt
04:33,2,00:43,TOWS 24,3,6,Punt
00:58,2,00:41,TOWS 40,3,2,Punt
14:55,3,01:47,TOWS 30,3,-4,Punt
11:26,3,02:33,TOWS 25,6,24,Punt
04:04,3,00:00,TOWS 4,1,-4,Safety
01:31,3,02:20,TOWS 27,7,18,Downs
11:57,4,00:22,TOWS 26,3,0,Punt
06:27,4,02:09,TOWS 11,3,-1,Punt
02:25,4,02:25,TOWS 16,4,6,End of Game
West Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:04,WVU 32,13,68,Touchdown
06:45,1,03:19,TOWS 48,8,46,Field Goal
00:42,1,01:38,WVU 46,7,37,Missed FG
12:05,2,03:01,TOWS 44,9,44,Touchdown
06:59,2,02:21,WVU 36,8,64,Touchdown
03:50,2,02:44,WVU 45,8,55,Touchdown
00:17,2,00:17,WVU 14,1,5,End of Half
13:08,3,01:42,WVU 25,6,75,Touchdown
08:53,3,04:49,WVU 15,12,81,Downs
03:59,3,02:28,WVU 48,7,25,Fumble
14:11,4,02:07,TOWS 45,5,45,Touchdown
11:35,4,05:03,WVU 41,11,59,Touchdown
04:18,4,01:53,WVU 38,3,4,Punt
