0716025720140920,,716,257
Troy Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:53,TROY 23,12,68,Missed FG
07:59,1,00:18,TROY 19,1,19,Fumble
06:10,1,03:05,TROY 25,6,10,Punt
02:32,1,01:42,TROY 12,3,-1,Punt
12:29,2,01:41,TROY 25,3,-7,Punt
10:48,2,01:43,TROY 25,3,7,Punt
07:31,2,04:40,TROY 21,9,40,Downs
00:15,2,00:15,TROY 25,1,12,End of Half
13:04,3,02:37,TROY 25,4,13,Punt
09:01,3,02:58,UGA 45,6,35,Interception
01:42,3,01:47,TROY 16,3,8,Punt
10:35,4,02:08,TROY 24,3,3,Punt
06:18,4,03:10,TROY 25,6,15,Punt
01:01,4,01:01,TROY 33,2,9,End of Game
Georgia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:07,1,02:08,UGA 20,6,80,Touchdown
07:41,1,01:31,TROY 27,3,27,Touchdown
03:05,1,00:33,UGA 17,2,83,Touchdown
00:50,1,03:21,UGA 40,8,41,Field Goal
09:05,2,01:34,UGA 20,6,80,Touchdown
02:51,2,02:36,UGA 39,8,61,Touchdown
15:00,3,01:56,UGA 25,4,75,Touchdown
10:27,3,01:26,UGA 6,3,7,Punt
06:03,3,04:21,UGA 20,6,20,Punt
14:55,4,04:20,UGA 38,8,62,Touchdown
08:27,4,02:09,TROY 18,5,18,Touchdown
03:08,4,02:07,UGA 22,3,8,Punt
