0718012820141018,,718,128
Tulane Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:34,1,01:26,UCF 28,4,3,Missed FG
09:15,1,00:59,TULN 19,3,3,Punt
06:33,1,01:21,UCF 8,4,4,Field Goal
04:06,1,04:10,TULN 14,9,1,Fumble
13:33,2,02:52,TULN 25,6,13,Punt
04:20,2,00:30,TULN 17,3,5,Interception
02:18,2,02:16,TULN 25,9,48,Downs
15:00,3,02:20,TULN 25,4,9,Punt
12:32,3,01:18,UCF 24,4,0,Field Goal
09:35,3,03:34,TULN 9,7,45,Punt
04:52,3,00:55,TULN 41,2,0,Interception
01:51,3,05:15,TULN 18,12,82,Touchdown
07:28,4,03:47,TULN 14,10,58,Downs
02:03,4,01:05,TULN 25,4,4,Downs
00:00,4,00:00,TULN 30,0,0,
UCF Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:26,UCF 25,3,-4,Interception
12:08,1,02:53,UCF 25,6,29,Punt
08:16,1,01:43,UCF 17,4,-9,Fumble
05:12,1,01:06,UCF 25,4,28,Punt
14:56,2,01:23,TULN 15,4,-15,Field Goal
10:41,2,06:21,UCF 15,12,85,Touchdown
03:50,2,01:32,TULN 25,4,12,Field Goal
00:02,2,00:02,UCF 27,1,-2,End of Half
12:40,3,00:08,UCF 31,1,-7,Fumble
11:14,3,01:39,TULN 49,3,49,Touchdown
06:01,3,01:09,UCF 20,3,25,Interception
03:57,3,02:06,TULN 27,4,9,Downs
11:36,4,04:08,UCF 35,8,23,Punt
03:41,4,01:38,UCF 28,3,6,Punt
00:58,4,00:58,TULN 29,4,-1,Downs
