0719028820141122,,719,288
Tulsa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:30,1,05:41,TLSA 29,11,48,Downs
01:40,1,03:31,TLSA 32,8,41,Missed FG
09:53,2,03:17,TLSA 20,6,16,Punt
05:17,2,00:41,HOU 41,2,41,Touchdown
01:06,2,01:06,TLSA 19,3,18,End of Half
15:00,3,08:07,TLSA 25,15,75,Touchdown
05:28,3,02:52,TLSA 30,8,70,Touchdown
01:19,3,01:25,TLSA 25,3,3,Interception
11:29,4,04:19,TLSA 23,10,77,Touchdown
03:06,4,01:24,TLSA 11,4,2,Interception
01:16,4,00:48,TLSA 35,7,28,Interception
Houston Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:30,HOU 22,10,78,Touchdown
04:49,1,03:09,HOU 23,8,77,Touchdown
13:09,2,03:16,HOU 27,6,34,Punt
06:36,2,01:19,HOU 10,3,6,Punt
04:36,2,03:30,HOU 15,8,33,Punt
06:53,3,01:25,HOU 18,4,82,Touchdown
02:36,3,01:17,HOU 42,4,58,Touchdown
14:54,4,03:25,TLSA 34,8,22,Missed FG
07:10,4,04:04,HOU 11,10,89,Touchdown
01:42,4,00:26,TLSA 12,4,-6,Field Goal
00:28,4,00:28,HOU 6,1,-2,End of Game
