0721046520141108,,721,465
Air Force Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:43,1,03:36,AFA 39,9,39,Field Goal
03:50,1,03:01,AFA 38,9,62,Touchdown
00:02,1,06:35,AFA 22,17,78,Touchdown
06:03,2,01:30,AFA 30,4,70,Touchdown
02:03,2,01:07,AFA 45,6,55,Touchdown
00:19,2,00:19,AFA 8,1,-1,End of Half
14:58,3,01:12,AFA 33,4,67,Touchdown
09:27,3,00:37,AFA 4,2,-2,Fumble
08:15,3,01:50,AFA 25,3,4,Punt
04:42,3,04:07,AFA 7,10,93,Touchdown
15:00,4,02:32,AFA 25,6,59,Field Goal
10:49,4,02:11,AFA 45,3,6,Punt
08:00,4,08:00,AFA 47,13,27,End of Game
UNLV Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:10,UNLV 25,13,75,Touchdown
06:07,1,02:17,UNLV 25,5,24,Punt
00:49,1,00:47,UNLV 25,3,5,Punt
08:20,2,02:17,UNLV 26,10,44,Downs
04:23,2,02:09,UNLV 35,7,65,Touchdown
00:51,2,00:32,UNLV 21,4,20,Punt
13:41,3,04:14,UNLV 29,13,67,Downs
08:50,3,00:29,AFA 2,2,2,Touchdown
06:25,3,01:43,UNLV 34,4,28,Punt
00:30,3,00:30,UNLV 13,3,1,Punt
12:21,4,01:32,UNLV 29,8,26,Downs
08:38,4,00:38,UNLV 10,3,7,Punt
