0725067420140913,,725,674
Army Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:44,1,02:41,ARMY 12,4,15,Punt
06:24,1,02:17,ARMY 15,3,8,Punt
00:42,1,01:48,ARMY 5,3,4,Fumble
13:54,2,03:39,ARMY 43,6,2,Punt
08:08,2,03:25,ARMY 12,6,32,Punt
01:40,2,00:12,ARMY 13,2,2,Fumble
00:27,2,00:27,ARMY 25,1,1,End of Half
15:00,3,08:55,ARMY 25,13,37,Punt
02:51,3,02:56,ARMY 25,6,10,Downs
11:35,4,02:21,ARMY 35,7,26,Interception
06:09,4,04:55,ARMY 25,10,70,Downs
Stanford Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:16,STAN 25,9,75,Touchdown
08:03,1,01:39,STAN 24,3,7,Punt
04:07,1,03:25,STAN 34,7,25,Punt
10:15,2,02:07,STAN 21,4,20,Punt
04:43,2,03:03,STAN 23,7,32,Punt
01:28,2,01:01,ARMY 15,4,15,Touchdown
06:05,3,03:14,STAN 2,9,98,Touchdown
14:55,4,03:20,ARMY 35,8,35,Touchdown
09:14,4,03:05,STAN 27,6,73,Touchdown
01:14,4,01:14,STAN 5,3,25,End of Game
