0726072520141213,,726,725
Navy Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:32,1,01:56,NAVY 22,3,4,Punt
09:36,1,01:53,NAVY 38,3,8,Punt
06:00,1,02:04,NAVY 30,3,3,Punt
14:13,2,05:59,NAVY 21,13,34,Punt
02:11,2,01:53,NAVY 30,6,70,Touchdown
15:00,3,05:17,50,9,22,Field Goal
04:56,3,07:49,NAVY 31,15,69,Touchdown
08:07,4,04:20,NAVY 40,8,39,Fumble
01:51,4,01:51,ARMY 49,4,13,End of Game
Army Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:28,ARMY 23,6,12,Punt
07:43,1,01:43,ARMY 16,3,3,Punt
03:56,1,04:43,ARMY 27,8,23,Punt
08:14,2,06:03,ARMY 20,10,50,Downs
00:18,2,00:18,ARMY 33,2,13,End of Half
09:43,3,04:47,ARMY 19,8,51,Missed FG
12:07,4,04:00,ARMY 27,8,33,Fumble
03:47,4,01:56,ARMY 21,9,45,Field Goal
