0731006620141129,,731,66
Utah State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:47,USU 25,5,54,Missed FG
10:11,1,00:08,USU 25,1,0,Interception
07:24,1,02:52,USU 25,7,75,Touchdown
02:05,1,01:13,USU 25,3,4,Punt
11:47,2,01:45,USU 7,3,1,Punt
08:52,2,04:13,USU 39,7,32,Field Goal
00:56,2,00:56,USU 30,5,2,Downs
13:08,3,02:06,USU 11,5,14,Punt
06:49,3,01:10,USU 2,3,8,Punt
01:37,3,01:35,USU 18,3,13,Punt
14:49,4,01:58,USU 25,6,25,Fumble
09:21,4,01:33,USU 35,5,23,Downs
06:37,4,01:40,USU 1,4,-1,Safety
01:26,4,01:26,USU 16,3,13,End of Game
Boise State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:13,1,03:02,BSU 21,9,79,Touchdown
10:03,1,02:39,USU 45,6,45,Touchdown
04:32,1,02:27,BSU 28,6,72,Touchdown
00:52,1,01:47,BSU 38,6,62,Touchdown
14:05,2,02:18,USU 22,5,22,Touchdown
10:02,2,01:10,BSU 36,3,3,Punt
04:39,2,03:43,BSU 36,9,34,Downs
00:00,2,00:00,USU 32,0,0,
15:00,3,01:52,USU 48,3,-4,Punt
11:02,3,04:13,BSU 28,8,30,Punt
05:39,3,04:02,BSU 42,9,8,Punt
00:02,3,00:13,BSU 22,2,78,Touchdown
12:51,4,03:30,50,8,50,Touchdown
07:48,4,01:11,BSU 42,3,3,Punt
04:57,4,01:06,BSU 42,2,8,Fumble
03:51,4,02:25,BSU 31,3,8,Punt
