0732041820140920,,732,418
Utah Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:36,1,01:41,UTAH 31,3,7,Punt
04:19,1,03:16,UTAH 3,9,79,Field Goal
11:56,2,01:03,UTAH 10,3,3,Punt
09:26,2,01:05,UTAH 20,3,-8,Punt
05:58,2,00:57,UTAH 15,3,-2,Interception
05:01,2,05:01,UTAH 25,16,54,End of Half
15:00,3,01:27,UTAH 33,5,67,Touchdown
08:17,3,01:09,UTAH 30,3,5,Punt
01:33,3,02:13,UTAH 38,7,32,Field Goal
13:37,4,02:47,MICH 47,6,14,Field Goal
07:51,4,01:48,MICH 32,4,8,Missed FG
04:30,4,03:20,UTAH 44,6,13,Punt
00:41,4,00:41,MICH 3,1,-6,End of Game
Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:24,MICH 25,12,50,Field Goal
07:55,1,03:36,MICH 24,7,40,Punt
01:03,1,01:24,MICH 25,3,-5,Punt
14:39,2,02:43,MICH 25,6,31,Punt
10:53,2,01:27,MICH 42,4,15,Punt
08:21,2,02:23,MICH 49,4,27,Interception
13:33,3,05:16,MICH 25,9,24,Punt
07:08,3,05:35,MICH 17,11,45,Downs
14:20,4,00:43,MICH 25,2,12,Interception
10:50,4,02:59,MICH 27,7,22,Interception
06:03,4,01:33,MICH 24,7,29,Fumble
01:10,4,00:29,MICH 3,4,0,Downs
