0736043420141025,,736,434
Vanderbilt Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:59,1,03:45,VAN 25,7,39,Punt
06:16,1,01:40,VAN 38,3,-1,Punt
03:10,1,02:16,VAN 41,3,4,Punt
14:04,2,05:29,VAN 13,10,32,Punt
03:19,2,03:11,VAN 25,10,75,Touchdown
15:00,3,03:18,VAN 25,6,31,Interception
07:45,3,02:55,VAN 12,5,9,Punt
02:27,3,01:48,VAN 25,5,15,Punt
10:26,4,03:33,VAN 24,6,76,Touchdown
02:05,4,00:56,VAN 25,3,-21,Punt
Missouri Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:01,MIZZ 37,10,44,Field Goal
07:14,1,00:58,MIZZ 20,3,-3,Punt
04:36,1,01:26,MIZZ 19,3,6,Punt
00:54,1,01:50,MIZZ 20,4,33,Punt
08:35,2,05:16,MIZZ 23,12,77,Touchdown
00:08,2,00:08,MIZZ 38,1,-1,End of Half
11:42,3,03:57,MIZZ 26,8,29,Punt
04:50,3,02:23,MIZZ 44,6,56,Touchdown
00:39,3,05:13,MIZZ 16,12,61,Missed FG
06:53,4,04:48,MIZZ 30,10,70,Touchdown
01:09,4,01:09,VAN 35,2,-2,End of Game
