0739068820140829,,739,688
Villanova Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,06:04,NOVA 10,12,50,Punt
06:24,1,04:52,NOVA 17,10,66,Missed FG
00:06,1,04:49,NOVA 40,12,60,Touchdown
06:49,2,00:55,NOVA 35,3,3,Punt
01:21,2,01:21,NOVA 8,2,-3,End of Half
10:04,3,04:47,NOVA 25,9,16,Punt
02:34,3,00:00,SYR 0,0,0,Touchdown
01:22,3,09:08,NOVA 12,19,80,Field Goal
05:52,4,05:40,NOVA 33,13,59,Missed FG
00:12,4,00:12,SYR 25,1,0,END OF HALF
00:00,OT,00:00,SYR 25,7,18,FIELD GOAL
00:00,OT,00:00,SYR 25,4,25,TOUCHDOWN
Syracuse Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
08:56,1,02:32,SYR 4,6,96,Touchdown
01:32,1,01:26,SYR 20,3,-7,Punt
10:17,2,03:28,SYR 31,14,48,Field Goal
05:54,2,04:33,SYR 15,8,44,Punt
15:00,3,04:56,SYR 17,13,83,Touchdown
05:17,3,02:43,SYR 9,6,7,Punt
02:34,3,01:12,SYR 35,3,17,Punt
07:14,4,01:22,SYR 35,3,-5,Punt
00:00,OT,00:00,NOVA 25,7,20,Field Goal
00:00,OT,00:00,NOVA 25,7,25,TOUCHDOWN
