0741072620141011,,741,726
VMI Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:13,VMI 25,3,9,Punt
11:44,1,02:18,VMI 25,5,29,Punt
07:41,1,01:52,VMI 36,3,8,Punt
00:08,1,03:50,VMI 30,7,30,Punt
10:03,2,00:00,NAVY 0,0,0,Touchdown
08:08,2,02:49,VMI 11,5,-11,Safety
03:01,2,00:56,VMI 27,3,8,Interception
02:05,2,00:34,VMI 19,3,9,Punt
01:05,2,01:05,VMI 24,2,4,End of Half
13:20,3,06:03,VMI 33,12,48,Missed FG
04:48,3,05:10,VMI 23,13,39,Downs
11:02,4,02:10,VMI 46,5,24,Downs
05:52,4,05:38,VMI 35,10,65,Touchdown
Navy Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:47,1,01:03,NAVY 28,3,72,Touchdown
09:26,1,01:45,NAVY 17,3,1,Punt
05:49,1,05:41,NAVY 25,12,75,Touchdown
11:18,2,01:15,NAVY 8,3,-8,Fumble
10:03,2,01:55,NAVY 25,5,16,Punt
05:19,2,02:18,NAVY 42,6,58,Touchdown
02:05,2,00:00,VMI 0,0,0,Touchdown
01:31,2,00:26,50,2,50,Touchdown
15:00,3,01:40,NAVY 25,3,6,Punt
07:17,3,02:29,NAVY 35,5,65,Touchdown
14:38,4,03:36,NAVY 38,6,19,Interception
08:52,4,03:00,NAVY 30,6,70,Touchdown
00:14,4,00:14,NAVY 35,1,-1,End of Game
