0742019320141115,,742,193
Virginia Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:57,1,01:40,VT 18,3,-1,Punt
08:06,1,02:04,VT 19,5,3,Punt
04:45,1,01:33,VT 26,5,33,Punt
14:54,2,05:05,VT 2,12,98,Touchdown
07:58,2,01:24,VT 21,3,5,Punt
05:38,2,02:21,VT 21,7,37,Downs
01:11,2,01:11,VT 33,4,11,End of Half
15:00,3,02:39,VT 18,5,9,Punt
08:47,3,01:27,VT 25,3,-10,Punt
03:49,3,01:25,VT 25,3,9,Interception
00:59,3,01:08,DUKE 9,4,-9,Fumble
14:51,4,02:04,DUKE 31,5,31,Touchdown
11:28,4,01:37,VT 36,4,8,Punt
06:56,4,03:12,VT 20,7,38,Downs
02:26,4,00:26,VT 22,3,8,PUNT
00:43,4,00:43,DUKE 40,1,-2,End of Game
Duke Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:03,DUKE 31,7,51,Field Goal
10:17,1,02:11,DUKE 34,7,66,Touchdown
06:02,1,01:17,DUKE 49,3,6,PUNT
03:12,1,03:18,DUKE 20,11,53,Interception
09:49,2,01:51,DUKE 35,3,0,PUNT
06:34,2,00:56,DUKE 34,3,-12,Punt
03:17,2,02:06,DUKE 42,9,24,Missed FG
12:21,3,03:34,DUKE 41,8,28,Field Goal
07:20,3,03:31,50,11,43,Field Goal
02:24,3,01:25,VT 36,3,0,Interception
12:47,4,01:19,DUKE 25,3,-6,Punt
09:51,4,02:55,DUKE 14,7,22,Punt
03:44,4,01:18,DUKE 42,6,36,Missed FG
02:00,4,01:17,DUKE 40,6,0,Downs
