0746019320141018,,746,193
Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:57,UVA 25,2,37,Fumble
09:32,1,02:05,UVA 18,6,-2,Punt
05:48,1,02:03,UVA 26,5,16,Punt
12:24,2,03:13,UVA 25,9,75,Touchdown
06:33,2,04:23,UVA 20,11,46,Missed FG
01:05,2,01:05,UVA 11,8,85,Field Goal
10:35,3,03:24,UVA 25,8,62,Field Goal
04:30,3,03:02,UVA 17,6,29,Punt
00:41,3,03:23,UVA 36,8,26,Punt
11:24,4,00:58,UVA 33,3,0,Punt
07:23,4,05:09,UVA 25,11,35,Downs
00:23,4,00:23,UVA 15,4,38,End of Game
Duke Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:03,1,03:26,DUKE 38,7,62,Touchdown
07:27,1,01:39,DUKE 30,3,-3,Punt
03:45,1,06:21,DUKE 20,15,79,Field Goal
09:06,2,02:33,DUKE 27,7,32,Punt
02:10,2,01:05,DUKE 35,3,6,Punt
15:00,3,04:25,DUKE 25,11,68,Field Goal
07:11,3,02:41,DUKE 25,6,23,Punt
01:28,3,00:47,DUKE 20,3,5,Punt
12:18,4,00:54,DUKE 20,3,1,Punt
10:26,4,03:03,DUKE 35,9,65,Touchdown
02:14,4,01:51,DUKE 40,3,8,Punt
