0749019320141129,,749,193
Wake Forest Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:06,1,03:13,DUKE 41,6,41,Touchdown
04:05,1,02:57,WAKE 23,7,33,Punt
10:47,2,03:59,WAKE 21,7,9,Fumble
05:33,2,03:50,WAKE 32,7,68,Touchdown
00:39,2,00:25,WAKE 25,2,5,End of Half
15:00,3,03:37,WAKE 20,8,80,Touchdown
06:46,3,04:25,WAKE 23,10,52,Downs
02:03,3,01:31,DUKE 27,4,7,Downs
14:43,4,02:35,WAKE 34,3,-4,Punt
06:02,4,00:55,WAKE 15,3,3,Punt
02:13,4,01:14,WAKE 30,3,10,Fumble
Duke Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:54,WAKE 47,8,47,Touchdown
08:53,1,02:19,DUKE 28,4,3,Fumble
06:34,1,02:20,WAKE 26,5,26,Touchdown
04:14,1,00:09,DUKE 48,1,52,Touchdown
01:08,1,05:21,DUKE 14,14,59,Field Goal
06:48,2,01:15,WAKE 30,4,-2,Downs
01:43,2,01:04,DUKE 35,8,55,Field Goal
11:23,3,04:37,DUKE 22,9,78,Touchdown
02:21,3,00:18,DUKE 25,2,19,Fumble
00:32,3,00:49,DUKE 20,3,2,Punt
12:08,4,06:06,DUKE 23,14,77,Touchdown
05:07,4,02:54,DUKE 37,5,32,Downs
00:59,4,00:59,WAKE 40,2,3,End of Game
