0754046620140905,,754,466
Washington State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:32,1,03:48,WSU 27,9,33,Punt
07:28,1,01:40,WSU 42,5,24,Downs
03:33,1,00:48,NEV 38,3,-12,Interception
01:18,1,01:30,WSU 26,3,4,Punt
10:59,2,00:28,WSU 25,2,22,Interception
08:47,2,01:32,WSU 20,5,80,Touchdown
05:50,2,03:56,WSU 30,13,62,Field Goal
15:00,3,03:10,WSU 31,8,49,Missed FG
10:07,3,02:10,WSU 17,3,6,Punt
06:57,3,04:08,WSU 28,11,51,Missed FG
12:15,4,02:43,WSU 40,8,39,Field Goal
04:25,4,00:43,WSU 34,4,9,Downs
00:32,4,00:32,WSU 25,5,66,End of Game
Nevada Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:28,NEV 17,5,21,Punt
08:44,1,01:16,NEV 14,3,2,Punt
05:48,1,02:15,NEV 34,4,4,Downs
02:45,1,01:27,WSU 12,4,12,Touchdown
14:48,2,03:49,NEV 9,10,91,Touchdown
10:31,2,01:44,NEV 40,5,17,Punt
07:15,2,01:25,NEV 20,3,6,Punt
01:54,2,01:54,NEV 23,5,7,End of Half
11:50,3,01:43,NEV 20,3,6,Punt
07:57,3,01:00,NEV 33,3,6,Punt
02:49,3,05:34,NEV 21,14,79,Touchdown
09:32,4,05:07,NEV 25,12,52,Field Goal
03:42,4,03:10,WSU 43,7,18,Downs
